秘書データ															
string Node Prefix	string つつく.values	string 待ち会話.values	string 進む.values	string 挨拶.values	string クエストクリア.values	string クエストアウト.values	string ＧＡＭＥＯＶＥＲ.values	string クエスト開始.values	string 準備.values	string 作戦.values	string 拠点.values	string 地域.values	string 冒険.values	string 食券.values	string 売店.values
	変なところグリグリは$やめてください……	ランス様、何かお悩みですか？	はい、前進、です						条件＜第８ターン飛ぶ＞　わあ、お空の上ですよ、$すごいですねランス様	条件＜第８ターン砦＞　ランス城は奪われてしまいましたが、$まだ負けたわけではありません。$再出発、がんばりましょう	条件＜第１２ターン上陸＞　私達……$本当に魔物界に来たんですね……$ランス様、拠点フェイズです。$選択をお願いします	条件＜地域滅亡＞　この地域は……$魔軍に奪われてしまいました……		条件＜ランス発生中＞　あっ、ランス様がいますよ	
	きゃうんっ！？	何かお菓子でも用意しましょうか？	ランス様についていきます						条件＜第８ターン＞　おはようございます、ランス様$本当に…ご無事で良かった…ぐすっ…$まずは皆さんと会いましょう	条件＜第８ターン飛ぶ＞　ドラゴンのキャンテルさんが$背に乗せてどこにでも連れてって下さるそうです。$ランス様、どこに行きますか？				条件＜シィル発生中＞　あっ、私もいますよ……$なーんて……	
	あ、あ、$変なとこ触っちゃいやですー	お腹が空いたら、$いつでも言って下さいね	まっすぐ行きましょう						条件＜第１２ターン＞　ランス様、海が現れたそうですよ。$ちょっと覗いてみますか？	条件＜第８ターン＞　ランス城は奪われてしまいましたが、$まだ負けたわけではありません。$再出発、がんばりましょう				条件＜食券３枚＞　わあ食券が三枚も$使わないともったいないですよ	
	やんっ！$くすぐったいですぅ！	条件＜部隊ボーナス有り＞　部隊ボーナスが貯まっていますよ$パワーアップに使いませんか？							条件＜ランス城は上陸地点＞　おはようございます、ランス様。$魔物界の朝です。$これからどうしますか？	条件＜ランス城は上陸地点＞　ついにケイブリスとの決戦ですね。$ランス様、ずっとついていきます…					
	あ、あう……$そこ、触られると$困りますぅ……	条件＜ＨＰ５０％以下＞　部隊ＨＰがだいぶ減っています$あの……回復を考えた方が……								条件＜第１２ターン＞　そろそろ魔軍と決着をつけないと、$まずい、ですよね……$ランス様、何かいい手はないでしょうか…					
バレス	ふおっ！？　ヒゲが！　	ふぅむ……編成は大丈夫ですかな？	ふむ、では慎重に……	では参りましょうぞ、ランス殿！	お見事にございます！$流石はランス殿！	撤退いたしましょう$英断でございます……	無念……無念ですが$最早これまで……	では出撃と参りましょう	準備フェイズです$さて、何から掛かりますかな？	作戦を練りましょう	拠点で一休みですな	この地も苦しいようですな$こちらへ向かいますか？		どの者と親睦を深めますかな？	
	何か御用ですかな？	ランス殿……何かお考え中ですか？	進みましょうぞ、香車の如く	このバレスが案内仕りましょうぞ！	ふふふ、儂も少しはお役に立て……$ふがっ、ふぐぐ！　髭を……！	くくっ……時には負け戦もございます		条件＜リーザス１＞　さあ、共にリーザスを守りましょうぞ！	全ては周到な準備から始まります$どう致しますか？	どれから片付けますかな	茶でも一杯、欲しくなりますな	現状を確認いたしましょう$ふむ、ふむ…………		時には部下と語らうのも良き将の条件$いかがなさいますか？	
	むむ、ランス殿？$どうされましたか？	待つのなら、一局いかがですかな？	では、進軍！					条件＜リーザス２＞　前進！　我らの地を守りましょう！	備えあれば憂いなし$さぁ、どうされますかな	出撃準備、整いましたぞ	条件＜第７ターン＞　あけましておめでとうございます$一年の計は元旦にありと$申しましてな……	条件＜リーザス＞　むむ……我が国の、現状は……		この中から一名、お選びください	
	ふがっ！$　頬を引っ張られましても……	これはいったい……$いや、ランス殿には深いお考えが……	こちらの道が良さそうですな						条件＜第１ターン＞　流石はランス殿……いえ、総統閣下$ではどうぞ、下知を	条件＜第１ターン＞　司令部の憂いが無くなり申した$儂もこちらでお手伝いしますぞ		条件＜地域奪還＞　この地には既に強敵はおりませぬな		条件＜バレス発生中＞　たまには儂と一献、如何ですかな？	
	髪ですか？　いえ、自前ですが……	そうそう、$これは娘の見合い写真なのですが……	この局面……いかがしたものか						条件＜第８ターン飛ぶ＞　城が空を飛ぶとは……$長生きはしてみるものです	条件＜第８ターン砦＞　なんの、負け戦も慣れとります$まだまだこれからですぞ		条件＜地域滅亡＞　ランス殿……ここはもう　既に……		条件＜スー発生中＞　おや？　あそこにスーの姿が……	
	落書きは禁止でお願いしますぞ	昔を思い出しますな……$そう、あれは……	このバレス。$まだまだ若い者には負けませぬ						条件＜第８ターン砦＞　被害は出ましたが$終わってはおりませぬ$さあ現状把握と参りましょう	条件＜第１２ターン＞　長い戦争になって参りましたな……$そろそろ盤上この一手、が$欲しくなりますが……				条件＜ハウレーン発生中＞　む、ハウレーン……あちらで何を	
	むおっ、とと……$相撲を一番、ご所望ですかな？	条件＜部隊ボーナス有り＞　部隊ボーナスを得る好機ですぞ$ご確認あれ	次は何者が出てくるか……						条件＜第１２ターン＞　ほう、海が出てきたようですな$年をとりますと$前回がついこの間のような……					条件＜食券３枚＞　おぉ、三枚も。$これは使うほかありませぬな	
	まだまだ若い者には負けませぬぞ	条件＜ＨＰ５０％以下＞　ランス殿、危機ですぞ$態勢を立て直しましょう													
ビスケッタ	御主人様？　いえ、なんでも	……………………	では、お気を付けください	では、私ビスケッタ・ベルンズが$ご案内申し上げます	おめでとうございます$お疲れ様でした	はい。それでは撤退いたします	…………お疲れ様でございました	それでは参ります	準備フェイズでございます$何をなさいますか？	作戦開始でございます。$出撃先をお選びください	用意は既に。ごゆるりとおくつろぎください	こちらへとお出かけですか？		食券をお使いになれます。$どなたか一人をご指名ください	
	どうぞ　お気が済むまで	主を待つのは$メイドの勤めでございます	進行します	御主人様のサポート……承りました					本作戦の前の準備です$合わせてご考慮くださいませ	出撃の準備、滞りなく$どうぞお選びください	拠点フェイズでございます$いかがなさいますか？	こちらが$この地域の現状になります		今日はどうなさいますか$御主人様	
	どうかなさいましたか？	どうぞ、ご存分に	参りましょう	僭越ながら、勤めさせて頂きます					条件＜第１ターン＞　これから忙しくなりますね$では、ご命令を	条件＜第１ターン＞　お疲れ様でございました$次はどうなさいますか？	お疲れ様でございました$お心のままにお過ごしください	条件＜地域奪還＞　こちらの地域からは$異常なしと報告が		条件＜シィル発生中＞　御主人様、あちらにシィル様が	
	触れるのですか$ではどうぞ	お茶でございます　どうぞ	伏兵　障害　ご注意を						条件＜第８ターン飛ぶ＞　飛行しても管理は充分に$ご覧下さいませ	条件＜第８ターン飛ぶ＞　キャンテル様がお待ちとか$どちらへおいでになりますか？	条件＜第７ターン＞　準備、できております	条件＜地域滅亡＞　………………$この地はお諦めください		条件＜メイドロナ発生中＞　御主人様、あの子が……$いえ、出過ぎたことでした	
	それが、楽しいのですか？	はい。ごゆるりと	どうぞ、お進みください						条件＜第１２ターン＞　海が出てきたとの報告が$ご覧になりますか？	条件＜第１２ターン＞　皆様、疲弊なさっている様子……$いえ、どこまでも、お供に				条件＜食券３枚＞　これ以上$溜めておく事はできません$ご注意くださいませ	
	………………	条件＜部隊ボーナス有り＞　部隊ボーナスがあるようです$お使いになられてはいかがでしょう													
	どうぞ、お望みであれば	条件＜ＨＰ５０％以下＞　部隊の皆様の傷が深いようです$手当てしますか？													
	……どう反応すればよいでしょう														
リセット	きゃっ！？$どどど、どこ触ってるの！？	んー？$休憩中？	れっつごー	えへへ、秘書さんかぁ$お姉ちゃん、がんばるね	わーい！$やったね、＜エール＞ちゃん！	うーん、残念……$次、また挑戦しようね	そんな……	新しい冒険、がんばろーね					条件＜第１ターン＞　ふふふ$新しい冒険の始まりだね！		なにを買おっかなー？
	わわわっ！$変なとこ触っちゃ駄目だよ！？	お茶でも飲んで$休憩しよーう	どんどん行こー	とーう！$秘書のお姉ちゃん、参上！	おめでとーう$えへへ、頑張ったね、$＜エール＞ちゃん			よーし、頑張ろうね、$＜エール＞ちゃん					条件＜第２ターン＞　ふふ、長田君と友達になったんだ♪$良かったね、＜エール＞ちゃん♪		
	きゃははは！$わ、脇腹は駄目だよ！	疲れたら休憩休憩♪	進もー進もー	ん、秘書をしたらいいの？$えへへ、よろしくねー	やったー$クエストクリアーだー			レッツゴーだよ、$＜エール＞ちゃん					条件＜第３ターン＞　大変な目に遭っちゃったね……$心機一転、がんばろーね		
	んー？$お姉ちゃんの$額のクリスタルが気になる？	なにか悩んでる？	了解、前進だねー										条件＜第４ターン＞　えへへ、これから宜しくね$さ、次はザンスちゃんのいる$リーザスにれっつごー		
	ひゃあっ！$つんつんしないで！？	お腹が空いた？$お菓子食べる？	＜エール＞ちゃんについていくねー										条件＜第５ターン＞　ふふふ、ザンスちゃんとも$もうすっかり仲良しさんだね		
	うにゃあ！？$なんで、つっつくのー？	はーっ$なんだか、のーんびり♪	はーい、進みまーす										条件＜第６ターン＞　乱義ちゃんも仲間だー$冒険は順調だね＜エール＞ちゃん$えーと、次は……		
	もう！$いたずらは駄目だよ！	まったり♪$まったり♪	お姉ちゃんと手を繋いで行こうねー										条件＜第７ターン＞　ミラクルさんはいつも元気だね$ミックスちゃんも仲間入りだし、$次はゼスに行こーう		
	つんつん？	迷ったらセーブ、だよ											条件＜第８ターン＞　ふふ、すっかりスシヌちゃんと$仲良くなったね$さあ、次はヘルマンだよー		
													条件＜第９ターン＞　遂に、次が最後のオーブだー$え、武闘大会？$大丈夫かなぁ？		
													条件＜第１０ターン＞　仲間もオーブも……$全部揃ったね……		
													条件＜第１１ターン＞　なんだか大変なことに$なっちゃったね……$＜エール＞ちゃん、元気出してね		
													条件＜第１２ターン＞　修行の成果を見せるときだ$がんばろーね、＜エール＞ちゃん		
													条件＜第１３ターン＞　わーい！$おとーさんが元に戻った！$ありがとう、＜エール＞ちゃん！		
志津香＆ナギ	＜ナギ＞おっ、なんだー？	＜ナギ＞おっ、ぼーっとしてどしたー？	＜ナギ＞ぼんっっっばーーーー！！！！	＜ナギ＞よっしゃー！$秘書がんばるよー！	＜ナギ＞やったー、クリアーだー！$$＜志津香＞ふう、お疲れ様……	＜ナギ＞どんまい、どんまい！$$＜志津香＞次、また挑戦ね	＜ナギ＞あ、う……$$＜志津香＞ここまで、ね……	＜ナギ＞ぼんばー！$$＜志津香＞作戦開始、ね	＜ナギ＞準備フェイズだー！$$＜志津香＞準備も大事よ？	＜ナギ＞作戦フェイズだぞー！$$＜志津香＞なにをするの？	＜ナギ＞拠点フェーーイズ！$$＜志津香＞休憩はしっかりとね	＜ナギ＞この地域で作戦するのー？$$＜志津香＞……悩んでる？		＜ナギ＞　食券フェイズだぜー！$＜志津香＞誰のイベント見るの？	
	＜ナギ＞なんだよー、押すなよー	＜ナギ＞おなか空いてきたー	＜ナギ＞ごーごー！	＜志津香＞秘書ねえ……$あんまり期待しないでよ？				条件＜最終決戦＞　＜ナギ＞これで最後の戦いだー！$$＜志津香＞……行きましょう	条件＜第８ターン飛ぶ＞　＜ナギ＞あははは！お空飛んでるー！$$＜志津香＞相変わらず、あんたって……	条件＜第８ターン飛ぶ＞　＜ナギ＞後半戦開始ー！$$＜志津香＞……そうなの？	条件＜第７ターン＞　＜ナギ＞あけましておめでとうございまーす$$＜志津香＞ん、ちゃんと挨拶出来たわね	＜ナギ＞地域の様子を見るよー$$＜志津香＞ふーむ……		＜ナギ＞　みんなの生活をちょっと覗き見！$＜志津香＞……もっといい言い方はないの？	
	＜ナギ＞いひひ♪$変なとこ触っちゃだめだよー♪	＜ナギ＞うぅん$眠くなってきたー	＜ナギ＞どんどん進もーーう！	＜ナギ＞二人がかりで世話してあげるねー$$＜志津香＞……なんだかなぁ					条件＜第１２ターン＞　＜ナギ＞うーーーみーーー！$$＜志津香＞ん、海が現れたようね……	条件＜第８ターン＞　＜ナギ＞ぐすん……城奪われちゃったね……$$＜志津香＞しょげないの	条件＜第１２ターン上陸＞　＜ナギ＞魔物界だー！$$＜志津香＞……誰と過ごすの？	条件＜地域奪還＞　＜ナギ＞もうここは平和だよー！$$＜志津香＞ん、お疲れ様……		条件＜子供志津香発生中＞　＜ナギ＞あっ、お姉様、お姉様！$お姉様がいるよ、ランス！	
	＜ナギ＞頭なでれー$頭なでれー	＜ナギ＞行かないのー？	＜志津香＞ちゃちゃっと行くわよ							条件＜ランス城は上陸地点＞　＜ナギ＞決戦の始まりだー！$$＜志津香＞……これで、最後、なのよね		条件＜地域滅亡＞　＜ナギ＞…………$$＜志津香＞魔軍に、奪われた地域よ……		条件＜リセット発生中＞　＜ナギ＞おお、リセットいるよ！$ほらほら、会いに行こうよ！$＜志津香＞……本当に仲いいわね	
	＜志津香＞…………なに？	＜志津香＞なに悩んでるの？	＜志津香＞はいはい、進むのね											条件＜ランス発生中＞　＜ナギ＞あっ、お姉様、お姉様！$ランスがいるよ！$＜志津香＞……それをなんで私に言うの？	
	＜志津香＞触らないでちょうだい	＜志津香＞……行かないの？	＜志津香＞ん、前進ね											条件＜マリア発生中＞　＜ナギ＞あっ、マリアがいるじゃーん！$$＜志津香＞会いに行く？	
	＜志津香＞こ、こら$頭撫でないでよ	＜志津香＞疲れたなら$ちゃんと休憩取るのよ？												条件＜ミル発生中＞　＜ナギ＞ミルねーちゃんがいるよー！$$＜志津香＞……あんまり懐かないでよ？	
	＜志津香＞ちょっと……$変なとこ触らないでよ……	＜志津香＞迷ったらセーブしておきなさい												条件＜エレノア発生中＞　＜ナギ＞あっ、ランちゃんがいるよ！$＜志津香＞ランスとランの二人を$会わせようとしないでよ……	
	＜ナギ＞いひひ、くすぐったいー♪$$＜志津香＞あんた…なにしてんの？	＜ナギ＞おーい、どうしたのー？$$＜志津香＞何か考えてるんじゃない？												条件＜子供ナギ発生中＞　＜志津香＞……ナギがいるわね$ん、別にそれだけよ……	
	＜ナギ＞あーっ、触ったーえっちえっちー$$＜志津香＞ちょっと、やめてよ……	＜ナギ＞お姉様ー、たいくつだよー$$＜志津香＞しりとりでもする？												条件＜食券３枚＞　＜ナギ＞おーっ、食券三枚もあるねー$$＜志津香＞使わないと、もったいないわよ？	
長田君	いて、いててて……	どうした、相棒$なんか悩み事か？	よっしゃ！$ドンドン行くぜー！	相棒の俺が秘書すっからよ！$なんでも任せろよな！	よっしゃー！$やったな、相棒！	ぐえええ……$諦めるっきゃないか……	嘘だろ……相棒……$ここで終わりなのかよ……	よっしゃー、行くぜー！					条件＜第１ターン＞　俺達のイカした冒険の始まりだー！		んーっ、$俺こういうの見るの大好きー
	痛い痛い！$なにすんだよー！	おーい、相棒？$とっとと進もうぜー？	れっつごー！	長田君参上！$秘書るぜ秘書るぜー！				俺達の実力を見せてやろうぜ！					条件＜第２ターン＞　へへっ、俺達絶好調！$次はどこに行くよ、相棒！		
	なんで叩くんだよー？	悩んでるなら俺に相談しろよな	俺達は誰にも止められないぜ！	へへーっ、$やっぱ相棒には$俺がついていないとなー				冒険、開始だー！					条件＜第３ターン＞　うーん、さすがに初っぱなから$魔王は無理かぁ……$地道に行くとすっか！		
	わわっ$セットした髪が乱れるー	部隊編成でもやっとく？	おーい、俺を置いてくなよー										条件＜第４ターン＞　頼りになる仲間も増えて$俺達の冒険は絶好調！$次はリーザスだぜ！		
	お？$どうしたどうした？	……腹でも減ったのか？	どんどこ進むぜー！										条件＜第５ターン＞　お次はＪＡＰＡＮだな！$俺実は行くの初めてなんだよねー		
	うひゃひゃ！$く、くすぐったいって！	暇だなー、早く行こうぜー	次へ進む！										条件＜第６ターン＞　んー？$なんか次は不穏な気配が……		
	んー？$なんで触るんー？	地図でも見る？	進め、進めー										条件＜第７ターン＞　次はゼスでの冒険か！$油断せずに進もうな、相棒！		
	きゃあ！$どこ触ってるんだよ！？	へへっ、$今の内にお菓子を食べるぜ	＜エール＞、気をつけて進もうぜ										条件＜第８ターン＞　次はヘルマンだな！$俺らなら楽勝っしょ！		
		ぐう……ぐう……											条件＜第９ターン＞　最後のオーブかぁ……$よし、気合い入れて行こうぜ！		
													条件＜第１０ターン＞　仲間もオーブも揃った！$そろそろ行こうぜ、相棒！		
													条件＜第１１ターン＞　うう……$まさか魔王があんなに……$相棒、これからどうする？		
													条件＜第１２ターン＞　へへっ、修行し直した俺達なら$もう何が来ても怖くない！$行こうぜ、相棒！		
													条件＜第１３ターン＞　やったな、相棒！$俺達ついに魔王を倒したんだぜ！		
母クルックー	ん？$なんですか？	ふう、一休み一休み	はい、進みましょう	こっそりと見守る母です	やりましたね、＜エール＞	ここは一時離脱、ですね	……残念です	冒険の開始です					条件＜第１ターン＞　あなたの冒険が始まりますよ		無駄遣いはいけませんよ
	母をつつくものではありませんよ	＜エール＞？$休憩ですか？	前進、ですね	秘書ですか……$経験はありませんが$やってみましょう				頑張りましょう、＜エール＞					条件＜第２ターン＞　友達が出来ましたね$母はホッとしました		
	＜エール＞、$くすぐったいですよ	晩ご飯は何にしましょうかね	次へ進む、ですね	母です									条件＜第３ターン＞　さすがにすぐ魔王に挑戦は$無理がありましたね		
	＜エール＞、$つんつんしないでください	ちゃんとご飯は食べていますか？	てくてく、てくてく										条件＜第４ターン＞　リセットが仲間にいるのは$とても心強いですね		
	＜エール＞、$どうかしましたか？	……暇です	とことこ、とことこ										条件＜第５ターン＞　そろそろ旅慣れた頃でしょうか$さあ、次はＪＡＰＡＮですよ		
	つつかれてると、$あなたが小さかった頃を$思い出す母です	休憩を取るなら、$母は少し寝ます											条件＜第６ターン＞　仲間が順調に増えてきましたね……$おや？$次はなんだか不穏な雰囲気ですよ？		
		何か悩んでますか？											条件＜第７ターン＞　ミックスが仲間になりましたね$次はゼスで冒険です		
		条件＜部隊ボーナス有り＞　おや？$部隊ボーナスがあるのに$使わないのは勿体ないですよ？											条件＜第８ターン＞　ふう、少し寒いですね$次はヘルマンで冒険ですよ		
		条件＜ＨＰ５０％以下＞　おや？$体力がかなり減っていますね$回復を優先した方がいいですよ											条件＜第９ターン＞　仲間も勢揃いしましたね$さあ、最後のオーブを$回収に行きましょう		
													条件＜第１０ターン＞　仲間もオーブも揃いました$さあ、遂に魔王ランスとの対決です		
													条件＜第１１ターン＞　……＜エール＞なら、$きっと大丈夫と信じていますよ		
