カード情報																	
string Node Prefix	string フルネーム	string レベル	string 年齢	string 身長	string 体重	string 職業	string スキル	string コメント１	string コメント２	string コメント３	string コメント４	string コメント５	string 同種カード.values	string 関連カード.values	string 説明１	string 説明２	string 説明３
全裸 ランス	ランス	４２	２４歳	１７３ｃｍ	６５ｋｇ	キースギルド所属 冒険者	剣２，冒険２	もともと自分が気持ちよければそれで良いという	セックスをしてきたが女の子を喜ばせることにも	楽しみを覚え始めたランス	"\"""	今ではテクニックもずいぶんと上達しているぞ	Lv42 ランス	全裸 シィル			
													Lv45 ランス				
													Lv55 ランス				
													Lv65 ランス				
													全裸 ランス				
タイニー ランス	らんす	４２	２４さい	１７３せんち	６５きろ	ぼうけんしゃ	けん２、ぼうけん２	つよきを くじくが よわきも くじく	らんせの えいゆう ちせいの ぼうかん	"\"""	ごぞんじ ほんさくの しゅじんこう	"\"""	Lv42 ランス	タイニー シィル			
													Lv45 ランス	タイニー ミラクル			
													Lv55 ランス	タイニー かなみ			
													Lv65 ランス	タイニー リセット			
													タイニー ランス	タイニー 志津香			
Lv38 ビスケッタ	ビスケッタ・ベルンズ	３８	２３歳	１６８ｃｍ	？？	ランス城メイド長	メイド２、格闘１、諜報１、統率１、経営１	メイドになるべくして生まれてきたと言われる	メイドの中のメイド	"\"""	ランス城における雑務のほとんどは、	彼女率いるメイド隊によって賄われている	Lv38 ビスケッタ	Lv42 ランス			
													専属メイド ビスケッタ	Lv2 クリン			
													全裸 ビスケッタ	Lv2 ハイジ			
専属メイド ビスケッタ	ビスケッタ・ベルンズ	３８	２３歳	１６８ｃｍ	？？	ランス城メイド長	メイド２、格闘１、諜報１、統率１、経営１	ビスケッタはこれまで、その完璧すぎる奉仕によって	多くのご主人様を自堕落の極みへ落し「呪われたメイド」	と恐れられるほどであった	ランス城に来て、彼女の枠に収まらないランスの生き様に	真の主としての器を見出している	Lv38 ビスケッタ	Lv42 ランス			
													専属メイド ビスケッタ	Lv2 クリン			
													全裸 ビスケッタ	Lv2 ハイジ			
全裸 ビスケッタ	ビスケッタ・ベルンズ	３８	２３歳	１６８ｃｍ	？？	ランス城メイド長	メイド２、格闘１、諜報１、統率１、経営１	色事には疎く、ランスとのエッチが初体験	"\"""	表情を作るのが苦手なビスケッタさんの色んな顔を	見てやりたくて、彼女を抱くとき、	ランスは毎度工夫を凝らしている	Lv38 ビスケッタ	Lv42 ランス			
													専属メイド ビスケッタ	Lv2 クリン			
													全裸 ビスケッタ	Lv2 ハイジ			
Lv2 クリン	クリン・ビゥ	２	２１歳	１５２ｃｍ	？？	ランス城メイド	メイド１	ビスケッタと同じ出張メイドサービス組織に属している	以前はリーザスでメイドをしていた	"\"""	お掃除大好き	"\"""	Lv2 クリン	Lv38 ビスケッタ			
													全裸 クリン	Lv2 ハイジ			
全裸 クリン	クリン・ビゥ	２	２１歳	１５２ｃｍ	？？	ランス城メイド	メイド１	お掃除が大好きなのでチンコを掃除してくれと言ったら	ちゃんと綺麗にしてくれます	黙っていると雑巾とかタワシとか使われるので	ちゃんと「口で」と言いましょう	"\"""	Lv2 クリン	Lv38 ビスケッタ			
													全裸 クリン	Lv2 ハイジ			
Lv2 ハイジ	ハイジ・パンクラウ	２	２１歳	１５３ｃｍ	？？	ランス城メイド	"\"""	白いパンを見ると盗まずにはいられないという	困った性癖を持つメイドさん	黒いパンはノーサンキュウ	"\"""	今日も懲りずにパン食らう	Lv2 ハイジ	Lv38 ビスケッタ			
													全裸 ハイジ	Lv2 クリン			
全裸 ハイジ	ハイジ・パンクラウ	２	２１歳	１５３ｃｍ	？？	ランス城メイド	"\"""	リーザスでパン盗みをランスに見つかり処女を奪われた	"\"""	ランス城でのパン泥棒はビスケッタにもバレてるし	ランスにも報告が届いているが	お仕置きセックスの口実にできるので放置されている	Lv2 ハイジ	Lv38 ビスケッタ			
													全裸 ハイジ	Lv2 クリン			
Lv2 ロナ	ロナ・ケスチナ	２	１２歳	１３２ｃｍ	１８ｋｇ	ランス城メイド	付与２	生まれた時からレッドアイの虐待を受け続けてきた少女	遠くない未来にある死の運命を悟り、	怯えることしか出来なかった	肌を焼かれ、肉を切られることのない平穏の日々に	今はただ戸惑いを覚えるばかりである	Lv2 ロナ	Lv38 ビスケッタ			
													全裸 ロナ	イアン			
													囚われ ロナ				
全裸 ロナ	ロナ・ケスチナ	２	１２歳	１３２ｃｍ	１８ｋｇ	ランス城メイド	付与２	初潮があった時から子供を生むための性交を	レッドアイに強制されてきた	それは時としてレッドアイの娯楽を兼ねたものであり	すなわち彼女の苦痛と絶望を意味した	もっともそれは彼女にとって日常の一幕に過ぎない	Lv2 ロナ	Lv38 ビスケッタ			
													全裸 ロナ	イアン			
													囚われ ロナ				
囚われ ロナ	ロナ・ケスチナ	２	１２歳	１３２ｃｍ	１８ｋｇ	"\"""	付与２	魔人レッドアイの虐待を受け続けた地獄の記憶	"\"""	砕かれた心が癒える日は遠い	"\"""	"\"""	Lv2 ロナ	Lv38 ビスケッタ			
													全裸 ロナ	イアン			
													囚われ ロナ				
将軍内に居た女１	ジェリー・オネ	８	"\"""	１６６ｃｍ	？？	占い師	"\"""	魔物将軍の中に	入っていた女性	"\"""	"\"""	"\"""	将軍内に居た女１	"\"""			
将軍内に居た女２	ピペット・コマゴメ	１１	"\"""	１６２ｃｍ	？？	冒険者	"\"""	魔物将軍の中に	入っていた女性	"\"""	"\"""	"\"""	将軍内に居た女２	"\"""			
将軍内に居た女３	ニオ・グラジアッゾ	１０	"\"""	１５３ｃｍ	？？	軍人	"\"""	魔物将軍の中に	入っていた女性	"\"""	"\"""	"\"""	将軍内に居た女３	"\"""			
将軍内に居た女４	上六百香	２	"\"""	１５９ｃｍ	？？	主婦	"\"""	魔物将軍の中に	入っていた女性	"\"""	"\"""	"\"""	将軍内に居た女４	"\"""			
将軍内に居た女５	かおり	１８	"\"""	１７３ｃｍ	？？	エロラレラレ石女優	"\"""	魔物将軍の中に	入っていた女性	"\"""	"\"""	"\"""	将軍内に居た女５	"\"""			
将軍内に居た女６	フッジ・カラー	１９	"\"""	１５５ｃｍ	？？	警備隊	"\"""	魔物将軍の中に	入っていた女性	"\"""	"\"""	"\"""	将軍内に居た女６	"\"""			
将軍内に居た女７	ゲティスバーグ・吉乃	２	"\"""	１５１ｃｍ	？？	学生	"\"""	魔物将軍の中に	入っていた女性	"\"""	"\"""	"\"""	将軍内に居た女７	"\"""			
将軍内に居た女８	京終	１０	"\"""	１４７ｃｍ	？？	巫女	"\"""	魔物将軍の中に	入っていた女性	"\"""	"\"""	"\"""	将軍内に居た女８	"\"""			
将軍内に居た女９	花山ストロンチウム	４	"\"""	１６０ｃｍ	？？	銀行員	"\"""	魔物将軍の中に	入っていた女性	"\"""	"\"""	"\"""	将軍内に居た女９	"\"""			
将軍内に居た女１０	エミリア・チキンライス	１２	"\"""	１５４ｃｍ	？？	教師	"\"""	魔物将軍の中に	入っていた女性	"\"""	"\"""	"\"""	将軍内に居た女１０	"\"""			
将軍内に居た女１１	ポッポ・コロコロ	１３	"\"""	１７０ｃｍ	？？	弁護士	"\"""	魔物将軍の中に	入っていた女性	"\"""	"\"""	"\"""	将軍内に居た女１１	"\"""			
将軍内に居た女１２	デューエ・フォード	２	"\"""	１６１ｃｍ	？？	貴族	"\"""	魔物将軍の中に	入っていた女性	"\"""	"\"""	"\"""	将軍内に居た女１２	"\"""			
Lv35 シィル	シィル・プライン	３５	２２歳	１５６ｃｍ	？？	ランスの奴隷	魔法１，神魔法１	ランスの奴隷として数々の冒険を共にしてきた女の子	ピンクのもこもこヘアーがトレードマーク	掃除洗濯料理に内職、攻撃魔法にヒーリングと仕事は様々	"\"""	約一年間、呪いで氷漬けになっていたが最近解放された	Lv35 シィル	Lv42 ランス			
													全裸 シィル				
													Lv11 シィル				
													Lv43 シィル				
													Lv47 シィル				
Lv43 シィル	シィル・プライン	４３	２２歳	１５６ｃｍ	？？	ランスの奴隷	魔法１，神魔法１	シィルはゼスの小さな村で生まれ、祖父は偉大な	魔法使いだった。祖父の教えでどんどんと魔法を覚える	優秀な子だったが、さらなる高みを目指して、上級学校に	入学する旅で親戚に騙され、紆余曲折の果て	人買いに奴隷として売られてしまった	Lv35 シィル	Lv42 ランス			
													全裸 シィル				
													Lv43 シィル				
													Lv47 シィル				
													Lv11 シィル				
Lv11 シィル	シィル・プライン	１１	２２歳	１５６ｃｍ	？？	ランスの奴隷	魔法１，神魔法１	魔法が使え、可愛く、しかも処女であったシィルは	奴隷としても破格の大金で売られていた	シィルを一目見たランスは、奮闘の末お金を稼ぎ、	彼女を買い上げた。自由都市には高額な奴隷税があるが	ランスは毎年律儀にこれを納めている	Lv35 シィル	Lv42 ランス			
													全裸 シィル				
													Lv43 シィル				
													Lv47 シィル				
													Lv11 シィル				
Lv47 シィル	シィル・プライン	４７	２２歳	１５６ｃｍ	？？	ランスの奴隷	魔法１，神魔法１	シィルのもともとの才能限界は３０程度だったが	何度もランスに抱かれてるうちに徐々に高まっていった	ランスに抱かれた者は、何故か一時的に才能限界が	上昇することがあるのだが、あまりにも頻繁に抱かれた	シィルのそれは恒常的なものになったようだ	Lv35 シィル	Lv42 ランス			
													全裸 シィル				
													Lv43 シィル				
													Lv47 シィル				
													Lv11 シィル				
運命の女 シィル	シィル・プライン	８０	２２歳	１５６ｃｍ	？？	ランスの奴隷	魔法１，神魔法１	数々の冒険でシィルも様々な危険に会ってきた	誘拐されたこともあった。氷漬けになったこともあった	何があってもなんとかする。もう二度と手放さない	・ランスとの子供は生んでいない	・電卓迷宮：シィルフィード	Lv35 シィル	Lv42 ランス			
													全裸 シィル				
													Lv43 シィル				
													運命の女 シィル				
													タイニー シィル				
タイニー シィル	SILL PLAIN	35	xxx	156㎝	??	RANCE NO DOREI	MAHO 1 KAMIMAHO 1	RANCE NO DOREI TOSITE	KAZUKAZU NO BOUKEN WO	TOMONI SHITEKITA ONNANOKO	PINKU NO MOKOMOKO HEA GA 	TOREDO MAKU	Lv35 シィル	タイニー ランス			
													全裸 シィル	タイニー かなみ			
													Lv43 シィル	タイニー 志津香			
													運命の女 シィル	タイニー ナギ			
													タイニー シィル	タイニー リセット			
全裸 シィル	シィル・プライン	３５	２２歳	１５６ｃｍ	？？	ランスの奴隷	魔法１，神魔法１	世界中の美女とセックスすることを人生の目標とする	ランスは、日々様々な女性をとっかえひっかえ抱いている	その中でどれだけ繰り返し抱いても飽きないのが	シィルなのだと言う。	"\"""	Lv35 シィル	Lv42 ランス			
													全裸 シィル				
													Lv43 シィル				
													Lv47 シィル				
													Lv11 シィル				
あてな２号	あてな２号	１	５歳	１４８ｃｍ	？？	ランスのペット	弓１、ラーニング１	魔女フロストバインによって生み出された	究極の人工生命体……のはずが材料にランスの精液が	混じったためか少々おつむが足りない	"\"""	失敗作なんかじゃないのれす	あてな２号	魔女 フロストバイン			
													超あてな２号	Lv42 ランス			
													人間 あてな２号	Lv35 シィル			
													全裸 あてな２号	Lv55 真田透琳			
														Lv22 香姫			
超あてな２号	あてな２号	１	５歳	１４８ｃｍ	？？	ランスのペット	弓１、ラーニング１	人工的に作られた肉体に偶発的に魂が入ることで完成した	その体は成長することがないためレベルアップもしない	"\"""	でもあてなはおりこうさんなので、敵の攻撃を覚えて	真似っこすることができるのれす。とっても優秀れす	あてな２号	魔女 フロストバイン			
													超あてな２号	Lv42 ランス			
													人間 あてな２号	Lv35 シィル			
													全裸 あてな２号	Lv55 真田透琳			
														Lv22 香姫			
人間 あてな２号	あてな２号	１	５歳	１４８ｃｍ	？？	ランスのペット	弓１、ラーニング１	謎の力で人間となったあてな	頭に白カブトムシを付けている間は、あてなは人間となる	"\"""	だからといってとりたてて何かが変わるわけではない	"\"""	あてな２号	魔女 フロストバイン			
													超あてな２号	Lv42 ランス			
													人間 あてな２号	Lv35 シィル			
													全裸 あてな２号	Lv55 真田透琳			
														Lv22 香姫			
全裸 あてな２号	あてな２号	１	５歳	１４８ｃｍ	？？	ランスのペット	弓１、ラーニング１	ランスにモニターレンタルということで預けられたが	最初はセックス機能が無かったので後から付け足された	"\"""	ちょっとＳＭチックな変態プレイが好き	"\"""	あてな２号	魔女 フロストバイン			
													超あてな２号	Lv55 真田透琳			
													人間 あてな２号				
													全裸 あてな２号				
量産型あてな２号	量産型あてな２号	１	０歳	１４８ｃｍ	？？	ランス城あてな２号部隊	弓１、ラーニング１	あてな２号を元にフロストバインが作成した新型	基本的な性能はあてな２号と全く同じで頭もかしこい	"\"""	しかし主を認識する能力が低いという致命的欠陥があり	オリジナルのあてな２号の言うこと以外一切聞かない	量産型あてな２号	魔女 フロストバイン			
													全裸 量産型あてな２号	Lv42 ランス			
														Lv35 シィル			
														Lv55 真田透琳			
														Lv22 香姫			
全裸 量産型あてな２号	量産型あてな２号	１	０歳	１４８ｃｍ	？？	ランス城あてな２号部隊	弓１、ラーニング１	乳首も性器も存在しないつんつるてん	"\"""	オリジナルのあてな２号も最初はそうだった	"\"""	"\"""	量産型あてな２号	あてな２号			
													全裸 量産型あてな２号	魔女 フロストバイン			
														タマ			
魔女 フロストバイン	フロストバイン	１５	？？？	１３２ｃｍ	？？	魔女	生命科学２、付与１	大昔から人工生命体の研究を行っていた割と凄い魔女	"\"""	あてな２号のデータをとり	さらなる人工生命体を作り出すべく日々研究している	"\"""	魔女 フロストバイン	あてな２号			
														お手伝い タマ			
お手伝い タマ	タマ	１５	５０歳以上	１４４ｃｍ	？？	魔女の助手 接客	"\"""	フロストバインのお手伝いをしている女の子	ＣＩＴＹに開いたフロストバインのお店の	看板娘もしている	その正体は人間の姿をとった化け猫	……化け猫って何？	お手伝い タマ	魔女 フロストバイン			
													発情期 タマ				
													全裸 タマ				
発情期 タマ	タマ	１５	５０歳以上	１４４ｃｍ	？？	魔女の助手 接客	"\"""	定期的に発情期が訪れる	でも人間の彼氏がいるので安心	"\"""	……とも言えず、彼氏の不在時には我慢できずに	ランスに抱いてもらったこともある	お手伝い タマ	魔女 フロストバイン			
													発情期 タマ				
													全裸 タマ				
全裸 タマ	タマ	１５	５０歳以上	１４４ｃｍ	？？	魔女の助手 接客	"\"""	なんでも売りますフロストバイてン	下着だろうと服だろうとなんだって売ります	"\"""	一張羅なので替えの服はありません	ババアケチなんすよ	お手伝い タマ	魔女 フロストバイン			
													発情期 タマ				
													全裸 タマ				
Lv28 クレイン	クレイン	２８	２２歳	１６４ｃｍ	？？	逃亡者	盗賊１、諜報２	「盗み聞きの魔女」と恐れられる元国際指名手配人	本人の意思と無関係に、他人の重大な秘密を	知ってしまうという不思議な体質の持ち主	"\"""	それゆえ様々な組織に命を狙われ、逃げ延びてきた	Lv28 クレイン	"\"""			
													Lv38 クレイン				
													全裸 クレイン				
Lv38 クレイン	クレイン	３８	２２歳	１６４ｃｍ	？？	逃亡者	盗賊１、諜報２	とある研究所で手に入れたステルススーツという	レアアイテムを装備している。仕組みは謎だが	透明になることができ、クレインの逃避行を助ける	"\"""	ちなみにクレインというのは偽名で本名は謎	Lv28 クレイン	"\"""			
													Lv38 クレイン				
													全裸 クレイン				
全裸 クレイン	クレイン	２８	２２歳	１６４ｃｍ	？？	逃亡者	盗賊１、諜報２	過去に拷問、陵辱を受けた経験があるため	非処女だが、恋愛経験は皆無	主要国の指名手配を解除してくれたランスには	とても感謝しているが恋愛はよく分からない	"\"""	Lv28 クレイン	"\"""			
													Lv38 クレイン				
													全裸 クレイン				
Lv43 ミラクル	ミラクル・トー	４３	１９歳	１６５ｃｍ	？？	暗黒魔女	魔法３、魔法科学１、付与１	桁外れの魔法の才能と知識を有する若き大魔法使い	世界征服の野望を持ち、実現のため日々活動している	その一環として、才能を持つ１２人の男性-ﾄｩｴﾙﾌﾞﾅｲﾄ-を	側近にすることを目標としている	ランスは１２人のリーダー「カオスマスター」（予定）	Lv43 ミラクル	魔女 ミステリア			
													Lv51 ミラクル	Lv28 ピグ			
													Lv66 ミラクル				
													運命の女 ミラクル				
													全裸 ミラクル				
Lv51 ミラクル	ミラクル・トー	５１	１９歳	１６５ｃｍ	？？	暗黒魔女	魔法３、魔法科学１、付与１	伝説級の才能である魔法レベル３の力を持つミラクルは	魔力においてはアニスに及ばないものの、使用できる	魔法の数においては歴史上でも並ぶ者は少ない	有言実行を宗とし、知識の吸収を絶やさない	勤勉な性格こそが彼女の最大の武器かもしれない	Lv43 ミラクル	"\"""			
													Lv51 ミラクル				
													Lv66 ミラクル				
													運命の女 ミラクル				
													全裸 ミラクル				
Lv66 ミラクル	ミラクル・トー	６６	１９歳	１６５ｃｍ	？？	暗黒魔女	魔法３、魔法科学１、付与１	トゥエルブナイト初期候補メンバー ピッテン 透琳	ロレックス ガンジー 摩利支天 魔人アイゼル ラーク	信長 パットン 早雲 アリオス …そしてランス	「カオスマスター」ランス以下それぞれにミラクル考案の	独自ネームがあるが全て紹介するには字数が足りない	Lv43 ミラクル	魔女 ミステリア			
													Lv51 ミラクル	Lv28 ピグ			
													Lv66 ミラクル				
													運命の女 ミラクル				
													全裸 ミラクル				
運命の女 ミラクル	ミラクル・トー	６６	１９歳	１６５ｃｍ	？？	暗黒魔女	魔法３、魔法科学１、付与１	余が片腕と見初めた男と運命のつながりがあった	としても何の驚きもありはしない。もし運命が無い	というのならそれは運命の方が間違っているのだ	・ランスとの子供は生んでいない	・電卓迷宮：電磁パルスの杖	Lv43 ミラクル	魔女 ミステリア			
													Lv51 ミラクル	Lv28 ピグ			
													Lv66 ミラクル				
													運命の女 ミラクル				
													全裸 ミラクル				
タイニー ミラクル	みらくる・とー	４３	ｘｘｘ	１６５ｃｍ	？？	まじょ	まほう３、まほうかがく１、ふよ１	ふはははははははははははははは！	よくぞ よ のかーどをてにいれた！	ほうびに よ のぶかとなる えいよをつかわそう	　　　　はい	　　　→いいえ	Lv43 ミラクル	タイニー ランス			
													Lv51 ミラクル	タイニー ピグ			
													Lv66 ミラクル	タイニー ナギ			
													運命の女 ミラクル	タイニー リセット			
													タイニー ミラクル	タイニー 志津香			
全裸 ミラクル	ミラクル・トー	４３	１９歳	１６５ｃｍ	？？	暗黒魔女	魔法３、魔法科学１、付与１	ランスには油断して何度かレイプされてしまったが、	彼女の中ではノーカウント	王としてやんちゃな僕の悪戯は寛大な心で許してやろう	"\"""	世界征服が成った暁には褒美に「処女」を上げても良い	Lv43 ミラクル	魔女 ミステリア			
													Lv51 ミラクル	Lv28 ピグ			
													Lv66 ミラクル				
													運命の女 ミラクル				
													全裸 ミラクル				
魔女 ミステリア	ミステリア・トー	６６	７２歳	１７４ｃｍ	？？	闇の大魔女	魔法２、魔法科学１、付与１	トー家はヌー家、ウー家と並び闇の御三家と称される	闇魔法のエキスパートの家系。中でもミステリアは	「南の賢者」と呼ばれホ・ラガと対比される実力者	その前向きでエネルギッシュ過ぎる性格は	孫であるミラクルの人格形成に大きな影響を与えた	魔女 ミステリア	Lv43 ミラクル			
														Lv46 カバッハーン			
														使徒 ルーシー			
Lv46 カフェ	カフェ・アートフル	４６	１５１１歳	１４２ｃｍ	？？	ランス城客人	神魔法２	１５００年前に活躍した伝説のパーティーの一員	自分の容姿へのコンプレックスから、	偉大な神に永遠の美貌を望んだ結果	長きに渡ってその業に苦しみつづけていた	時を経て、カオスとランスによって助けられる	Lv46 カフェ	魔剣 カオス			
													Lv66 カフェ	Lv53 日光			
													全裸 カフェ	Lv?? ブリティシュ			
														Lv?? ホ・ラガ			
Lv66 カフェ	カフェ・アートフル	６６	１５１１歳	１４２ｃｍ	？？	ランス城客人	神魔法２	エターナルヒーローのヒーラー	その名に違わぬ強力な神魔法の使い手	"\"""	体力にはあまり自信がなく、当時の冒険では	よくカオスに助けられては憎まれ口を叩かれていた	Lv46 カフェ	魔剣 カオス			
													Lv66 カフェ	Lv53 日光			
													全裸 カフェ	Lv?? ブリティシュ			
														Lv?? ホ・ラガ			
全裸 カフェ	カフェ・アートフル	４６	１５１１歳	１４２ｃｍ	？？	ランス城客人	神魔法２	神の力で究極の美貌と永遠の命を手にしたカフェは	最初は望むがままの恋愛を満喫していたが、次第に	男の欲望、女の嫉妬に翻弄され、	幾千の陵辱を受け苦しみ続けることになった	色恋沙汰はもう懲り懲り	Lv46 カフェ	魔剣 カオス			
													Lv66 カフェ	Lv53 日光			
													全裸 カフェ	Lv?? ブリティシュ			
														Lv?? ホ・ラガ			
Lv22 サーナキア	サーナキア・ドレルシュカフ	２２	２４２歳	１７０ｃｍ	？？	ランス城騎士団長	剣１、戦術０、統率０	今は亡きダラスという国の戦士だったが、闘神都市	の調査中に石化させられ、２２０年間冬眠状態だった	"\"""	騎士に強い憧れが有り、騎士道精神を重んじている	ランス城にて念願の騎士団長になれた	Lv22 サーナキア	Lv57 クルーチェ			
													Lv8 サーナキア	Lv47 ウルザ			
													危ない サーナキア				
													全裸 サーナキア				
Lv8 サーナキア	サーナキア・ドレルシュカフ	８	２４２歳	１７０ｃｍ	？？	ランス城騎士団長	剣１、戦術０、統率０	剣士として、指揮官として、その実力は残念ながら凡庸	しかし、努力と根性で突き進むその姿を慕う隊員は多い。	"\"""	蛮勇が過ぎて失敗をやらかしては、隊員がフォローする	というのがランス城騎士団のいつもの姿	Lv22 サーナキア	Lv57 クルーチェ			
													Lv8 サーナキア	Lv42 ランス			
													危ない サーナキア	Lv25 ランス城騎士			
													全裸 サーナキア	Lv40 イオ			
														Lv47 ウルザ			
危ない サーナキア	サーナキア・ドレルシュカフ	２２	２４２歳	１７０ｃｍ	？？	ランス城騎士団長	剣１、戦術０、統率０	無骨な鎧は石化する前から身につけていた思い出の品	強いこだわりがあるようで、他の鎧は身につけない	"\"""	が、ランスによってセクシーな鎧を着させられ	街をねり歩く罰ゲームをたびたびさせられている	Lv22 サーナキア	Lv57 クルーチェ			
													Lv8 サーナキア	Lv42 ランス			
													危ない サーナキア	Lv25 ランス城騎士			
													全裸 サーナキア	Lv40 イオ			
														Lv47 ウルザ			
全裸 サーナキア	サーナキア・ドレルシュカフ	２２	２４２歳	１７０ｃｍ	？？	ランス城騎士団長	剣１、統率０	自分が女であることを疎んじ女性扱いされるのを嫌がる	"\"""	ランス城に仕えてからも、ランスに勝負をしかけては	返り討ちに合いそのたびにセックスさせられている	"\"""	Lv22 サーナキア	Lv57 クルーチェ			
													Lv8 サーナキア	Lv42 ランス			
													危ない サーナキア	Lv25 ランス城騎士			
													全裸 サーナキア	Lv40 イオ			
														Lv47 ウルザ			
Lv38 アルカネーゼ	アルカネーゼ・ライズ	３８	２２歳	１８０ｃｍ	？？	ランスの舎弟 法王の護衛	鎚１	元盗賊団のボス。ランスと出会うまで	女扱いされない人生に荒みグレていた	"\"""	法王クルックーと友達になった縁から、彼女の	お忍びの冒険では護衛としてよくお供をしている	Lv38 アルカネーゼ	Lv40 クルックー			
													Lv60 アルカネーゼ	Lv28 サチコ			
													全裸 アルカネーゼ				
Lv60 アルカネーゼ	アルカネーゼ・ライズ	６０	２２歳	１８０ｃｍ	？？	ランスの舎弟 法王の護衛	鎚１	考えることは苦手で体を動かすほうが得意	大柄な体格に見合ったパワフルな戦闘を繰り広げる	ウジウジしているのが嫌いで、不正は許さず	弱者を見捨てない男前な性格	そういうわけで男よりも女の子からよくモテてしまう	Lv38 アルカネーゼ	Lv40 クルックー			
													Lv60 アルカネーゼ	Lv28 サチコ			
													全裸 アルカネーゼ				
全裸 アルカネーゼ	アルカネーゼ・ライズ	３８	２２歳	１８０ｃｍ	？？	ランスの舎弟 法王の護衛	鎚１	好きになった男性に女と思えないと言われフられ続け	ヤケになった酒の席で、女の子に処女を奪われている	"\"""	ランスだけは自分を女扱いしてくれる	でもエッチは恥ずかしいので少し苦手	Lv38 アルカネーゼ	Lv40 クルックー			
													Lv60 アルカネーゼ	Lv28 サチコ			
													全裸 アルカネーゼ				
Lv45 キバ子	キバ子	４５	？？？	１４７ｃｍ	？？	野生児	格闘１、神魔法１、調理１、狩り１	森の中、一人で生きてきた少女	完全なる野生児で言葉を話す事もできない	キバ子というのも近隣住民が名づけたもの	"\"""	まんが肉が大好き	Lv45 キバ子	Lv35 シィル			
													全裸 キバ子	野生児 スー			
全裸 キバ子	キバ子	４５	？？？	１４７ｃｍ	？？	野生児	格闘１、神魔法１、調理１、狩り１	近隣住民の誰もキバ子を捕らえることは出来なかったが	ランスが近寄ると、ランスのキバを見て一目惚れし	自分から巣に連れて行って、交尾した	"\"""	現在はランス城屋上の庭園に生息している	Lv45 キバ子	Lv35 シィル			
													全裸 キバ子	野生児 スー			
Lv36 キャロリ	キャロリ・メイト	３６	１９歳	１５６ｃｍ	？？	ランス城看護婦	盗賊１、薬剤１	女の子のみが罹患する奇病ミドリ病に掛かり、	隔離施設に入れられていた少女	"\"""	ミドリ病の治療法が見つかった今は、	ランス城の医務室で働いている	Lv36 キャロリ	Lv34 ミル			
													緑化病 キャロリ	Lv46 アム			
													全裸 キャロリ				
緑化病 キャロリ	キャロリ・メイト	１０	１９歳	１５６ｃｍ	？？	ランス城看護婦	盗賊１、薬剤１	ミドリ病に対する世間の偏見は厳しく	罹患者は皆嫌悪の目で見られ	その境遇は例外なく悲惨なものだった。	劣悪な環境の中で援助を続けてくれた魔人カイトだけが	ミドリ病患者たちの唯一の希望であった	Lv36 キャロリ	Lv46 アム			
													緑化病 キャロリ				
													全裸 キャロリ				
