識別名情報								
string Node Prefix	string キャライベント１.values	string キャライベント２.values	string キャライベント３.values	int 裸イベント	string ランクアップ４０.values	string ランクアップ８０.values	string ランクアップ２０.values	string 説明
セシル	自由都市１／実行済み	条件成立	条件成立	1	全裸カード　取得可能			
篠田源五郎	条件成立	条件成立	条件成立					
子供志津香	条件成立	条件成立	条件成立		別カード　取得可能			
子供ナギ	条件成立	条件成立	条件成立		別カード　取得可能			
マリア	全地域健在	条件成立	マリアＣ条件	1	全裸カード　取得可能			
香澄	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
エレノア	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
ミル	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
ピッテン	条件成立	条件成立	パットンが居る					
ポロン	条件成立	条件成立	条件成立					
メアリー	条件成立	条件成立	条件成立					
ヌヌハラ	条件成立	自由都市健在	条件成立	1	全裸カード　取得可能			
カチューシャ	条件成立	カチューシャ展開３	カチューシャ展開３	1	全裸カード　取得可能			
少女カチューシャ	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
パパデマス	条件成立	条件成立	条件成立					
パトリシア	条件成立	条件成立	条件成立					
ビヨンホウ	自由都市１／実行済み	条件成立	条件成立					
ペスポ	条件成立	条件成立	条件成立					
ドエススキー	条件成立	条件成立	条件不成立					
バーナード	条件成立	条件成立	条件成立					
シルバレル	条件成立	条件成立	条件成立		全裸カード　取得可能			
オノハ	条件成立	条件成立	条件成立	1				
アマデス	ニミッツが居る	リーザス２／実行済み	条件成立					
イアン	条件成立	条件成立	条件成立					
クルックー	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
ロードリング	条件成立	条件成立	条件不成立					
サチコ	条件成立	条件成立	条件成立	1	全裸カード　取得可能		別カード　取得可能	
セル	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
アム	条件成立	条件成立	条件成立	1	全裸カード　取得可能	別カード　取得可能		
ＢＳ	条件成立	条件成立	条件不成立					
香姫	条件成立	条件成立	条件成立	1	全裸カード　取得可能		別カード　取得可能	
３Ｇ	条件成立	条件成立	条件成立					
てる	条件成立	パパイアが居る	条件成立	1				
きく	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
ちぬ	条件成立	条件成立	条件成立	1	全裸カード　取得可能		別カード　取得可能	
謙信	条件成立	条件成立	条件成立	1	全裸カード　取得可能	別カード　取得可能		
愛	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
勝子	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
虎子	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
義景	条件成立	条件成立	条件成立					
千姫	条件成立	条件成立	条件成立	1	別カード　取得可能	全裸カード　取得可能		
アギレダ	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
柚美	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
早雲	条件成立	条件成立	条件不成立					
五十六	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
政宗	条件成立	条件成立	条件成立					
お町	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
ノワール	条件成立	自由都市健在	条件成立	1	全裸カード　取得可能			
野菊	条件成立	条件成立	自由都市健在	1	全裸カード　取得可能			
折女	自由都市健在	条件成立	条件成立	1	全裸カード　取得可能			
黒部	条件成立	条件成立	条件成立					
紀伊	条件成立	条件成立	自由都市健在	1	全裸カード　取得可能			
乳久里	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
パステル	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
リセット	条件成立	条件成立	条件成立				別カード　取得可能	
サクラ	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
イージス	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
モダン	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
フル	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
ビビッド	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
三菱王	条件成立	条件成立	条件成立					
満鉄王	条件成立	条件成立	条件成立					
日立姫	条件成立	条件成立	条件成立					
東芝王子	条件成立	条件成立	条件成立					
ハンティ	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
キャンテル	条件成立	条件成立	キャンテルＣ条件					
ゼータ	条件成立	条件成立	条件成立					
シグマ	条件成立	条件成立	レイが居る					
プルーペット	条件成立	条件成立	条件成立					
メガッス	条件成立	条件成立	条件成立					
メガワス	条件成立	条件成立	条件成立					
メガフォース	条件成立	条件成立	条件成立					
テラ	条件成立	条件成立	条件成立					
アカシロ	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
アスベスト	条件成立	条件成立	条件不成立					
シャリエラ	条件不成立	条件不成立	条件不成立					
きゃんきゃん	条件不成立	条件不成立	条件不成立					
９７チハ	条件不成立	条件不成立	条件不成立					
ラルカット	条件不成立	条件不成立	条件不成立					
メイドさん	条件不成立	条件不成立	条件不成立					
フローズン	条件不成立	条件不成立	条件不成立					
マジスコ	条件不成立	条件不成立	条件不成立					
バルキリー	条件不成立	条件不成立	条件不成立					
神風	条件不成立	条件不成立	条件不成立					
ハチ女	条件不成立	条件不成立	条件不成立					
幸福きゃんきゃん	条件不成立	条件不成立	条件不成立					
はいからちゃん	条件不成立	条件不成立	条件不成立					
上野花子	条件不成立	条件不成立	条件不成立					
体育スター	条件不成立	条件不成立	条件不成立					
シャチ子	条件不成立	条件不成立	条件不成立					
ガルバン	条件不成立	条件不成立	条件不成立					
めぽら	条件不成立	条件不成立	条件不成立					
ミイラン	条件不成立	条件不成立	条件不成立					
鉄腕ラブル	条件不成立	条件不成立	条件不成立					
男装女	条件不成立	条件不成立	条件不成立					
手裏剣使い	条件不成立	条件不成立	条件不成立					
ラカン	条件成立	条件成立	条件不成立					
王様	条件不成立	条件不成立	条件不成立					
剣豪	条件不成立	条件不成立	条件不成立					
アパッチ	条件不成立	条件不成立	条件不成立					
学者	条件不成立	条件不成立	条件不成立					
マッスル	条件不成立	条件不成立	条件不成立					
ニードル	条件不成立	条件不成立	条件不成立					
ハニ子	条件成立	条件成立	条件成立					
ハニーキング	条件成立	ニミッツが居る	条件成立					
ルーシー	条件成立	条件成立	バークスハム使徒が居る		全裸カード　取得可能			
アーシー	条件成立	条件成立	マーシーが居る		全裸カード　取得可能			
マーシー	ヘルマン健在	条件成立	条件成立		全裸カード　取得可能			
美樹	美樹の彼氏	美樹の彼氏	美樹の彼氏	1	全裸カード　取得可能			
健太郎	美樹が居る	条件成立	美樹の彼氏はランス					
サテラ	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
シーザー	条件成立	条件成立	条件不成立					
シルキィ	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
ハウゼル	条件成立	条件成立	サイゼルが居る	1	全裸カード　取得可能			
サイゼル	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
ユキちゃん	条件成立	条件成立	オーロラが居る	1	全裸カード　取得可能			
火炎書士	条件成立	条件成立	サイゼルが居る	1	全裸カード　取得可能			
ニミッツ	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
アトランタ	条件成立	条件成立	条件成立					
ジュノー	条件成立	条件成立	条件成立					
オーロラ	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
ワーグ	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
ホーネット	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
ガルティア	条件成立	謙信が居る	ケッセルリンクが居る					
ラウネア	条件成立	政宗と黒部／実行済み	条件成立					
タルゴ	条件成立	条件成立	条件成立					
サメザン	条件成立	条件成立	条件成立					
レイ	条件成立	条件成立	条件成立					
パイアールロボ	条件成立	条件成立	条件成立					
女ケッセルリンク	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
パレロア	条件成立	条件成立	条件不成立	1	全裸カード　取得可能			
バーバラ	条件成立	条件成立	条件不成立	1	全裸カード　取得可能			
ファーレン	条件成立	ケッセルリンクが居る	条件不成立	1	全裸カード　取得可能			
シャロン	条件成立	ケッセルリンクが居る	条件不成立	1	全裸カード　取得可能			
エルシール	条件成立	条件成立	条件不成立	1	全裸カード　取得可能			
加奈代	条件成立	条件成立	条件不成立	1	全裸カード　取得可能			
リリム	条件成立	ファーレン保有	条件不成立	1	全裸カード　取得可能			
アルカリア	条件成立	条件成立	条件不成立	1	全裸カード　取得可能			
フェリス	条件成立	条件成立	条件成立	1	全裸カード　取得可能	別カード　取得可能		
ウィリス	条件成立	ロードリングが居る	条件成立	1	全裸カード　取得可能			
ミカン	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
ケイブニャン	条件不成立	条件不成立	条件不成立		全裸カード　取得可能			
ケイブワン	条件不成立	条件不成立	条件不成立		全裸カード　取得可能			
ベゼルアイ大	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
ベゼルアイ小	条件成立	条件成立	条件成立		全裸カード　取得可能			
ウェンリーナー大	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
ウェンリーナー小	条件成立	条件成立	条件成立		全裸カード　取得可能			
セラクロラス大	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
セラクロラス小	条件成立	条件成立	条件成立		全裸カード　取得可能			
ハウセスナース大	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
ハウセスナース小	条件成立	条件成立	条件成立		全裸カード　取得可能			
アスカ	条件不成立	条件不成立	条件不成立					
ジャロ	条件不成立	条件不成立	条件不成立					
ブリティシュ	条件不成立	条件不成立	条件不成立					
リア２	条件不成立	条件不成立	条件不成立					
コンバート	条件不成立	条件不成立	条件不成立					
バード	条件不成立	条件不成立	条件不成立					
ホ・ラガ	条件不成立	条件不成立	条件不成立					
よーぜふ	条件不成立	条件不成立	条件不成立					
シーラ２	条件不成立	条件不成立	条件不成立					
タイガー将軍	条件不成立	条件不成立	条件不成立					
ザカリテ	条件不成立	条件不成立	条件不成立					
瀕死の子１	条件不成立	条件不成立	条件不成立					
瀕死の子２	条件不成立	条件不成立	条件不成立					
マジック２	条件不成立	条件不成立	条件不成立					
ＹＯＲＡ	条件不成立	条件不成立	条件不成立					
ニーナ	条件不成立	条件不成立	条件不成立					
アレキサンダー	条件不成立	条件不成立	条件不成立					
シュリ	条件不成立	条件不成立	条件不成立					
マリア２	条件不成立	条件不成立	条件不成立					
メアリー２	条件不成立	条件不成立	条件不成立					
バファムーン	条件不成立	条件不成立	条件不成立					
エロヤック	条件不成立	条件不成立	条件不成立					
船長	条件不成立	条件不成立	条件不成立					
すず	条件不成立	条件不成立	条件不成立					
ＫＤ	条件不成立	条件不成立	条件不成立					
ジャハルッカス	条件不成立	条件不成立	条件不成立					
アスタコ	条件不成立	条件不成立	条件不成立					
アリス	条件不成立	条件不成立	条件不成立					
闇アリス	条件不成立	条件不成立	条件不成立					
肉片 ルート	条件不成立	条件不成立	条件不成立					
戯骸	条件不成立	条件不成立	条件不成立					
リクチェル	条件不成立	条件不成立	条件不成立					
ＤＤ	条件不成立	条件不成立	条件不成立					
ゲイマルク	条件不成立	条件不成立	条件不成立					
カミーラ	条件不成立	条件不成立	条件不成立					
かわぞえ	条件不成立	条件不成立	条件不成立					
ますぞえ	条件不成立	条件不成立	条件不成立					
クエルプラン	条件不成立	条件不成立	条件不成立					
コーラ	条件不成立	条件不成立	条件不成立					
ジーク	条件不成立	条件不成立	条件不成立					
テオマン	条件不成立	条件不成立	条件不成立					
ヌーク７７	条件不成立	条件不成立	条件不成立					
ネプラカス	条件不成立	条件不成立	条件不成立					
バスワルド	条件不成立	条件不成立	条件不成立					
バボラ	条件不成立	条件不成立	条件不成立					
ラッシー	条件不成立	条件不成立	条件不成立					
レッドアイ	条件不成立	条件不成立	条件不成立					
ＡＬＩＣＥ	条件不成立	条件不成立	条件不成立					
リズナ２	条件不成立	条件不成立	条件不成立					
ＰＧ	条件不成立	条件不成立	条件不成立					
ストロガノフ	条件不成立	条件不成立	条件不成立					
トッポス	条件不成立	条件不成立	条件不成立					
モドカタ	条件不成立	条件不成立	条件不成立					
ツォトン	条件不成立	条件不成立	条件不成立					
ルメイ	条件不成立	条件不成立	条件不成立					
ピサロ	条件不成立	条件不成立	条件不成立					
ヨシフ	条件不成立	条件不成立	条件不成立					
バイランローズ	条件不成立	条件不成立	条件不成立					
ケイブリス２	条件不成立	条件不成立	条件不成立					
擬態／食券								特殊カードの説明$後でここに入れます$種類別にいろいろ$かくのよー
擬態／勲章								特殊カードの説明$後でここに入れます$種類別にいろいろ$かくのよー
擬態／戦果								特殊カードの説明$後でここに入れます$種類別にいろいろ$かくのよー
擬態／友情								特殊カードの説明$後でここに入れます$種類別にいろいろ$かくのよー
擬態／金塊								特殊カードの説明$後でここに入れます$種類別にいろいろ$かくのよー
擬態／闘将軍団								特殊カードの説明$後でここに入れます$種類別にいろいろ$かくのよー
擬態／ハニー軍団								特殊カードの説明$後でここに入れます$種類別にいろいろ$かくのよー
擬態／ポピンズ軍団								特殊カードの説明$後でここに入れます$種類別にいろいろ$かくのよー
擬態／残党軍団								特殊カードの説明$後でここに入れます$種類別にいろいろ$かくのよー
擬態／ＥＸＰＵＰ								特殊カードの説明$後でここに入れます$種類別にいろいろ$かくのよー
擬態／アイテムＵＰ								特殊カードの説明$後でここに入れます$種類別にいろいろ$かくのよー
