実績情報						
string Node Prefix	int 種類	string ボーナス	string 値.values	string 説明	int 隠し表示	int 値_2
達成　？？解放条件全達成　　　　　　★２部解放	10	"\"""	ルート／第２部解放	全？？解放条件を達成したので第２部が開始出来ます	1	
達成(第２部クリア時)　全クリア	10	"\"""	ルート／第２部クリア	ランスシリーズ完全終了です、ありがとうございます	1	
達成　実績２０個　　　　　　　　　　★物理倍率＋１	20	物理倍率＋１		合計２０個以上の実績取得　ボーナス(恒久.物理倍率＋１)		20
達成　実績４０個　　　　　　　　　　★魔法倍率＋１	20	魔法倍率＋１		合計４０個以上の実績取得　ボーナス(恒久.魔法倍率＋１)		40
達成　実績６０個　　　　　　　　　　★物理倍率＋１	20	物理倍率＋１		合計６０個以上の実績取得　ボーナス(恒久.物理倍率＋１)		60
達成　実績８０個　　　　　　　　　　★魔法倍率＋１	20	魔法倍率＋１		合計８０個以上の実績取得　ボーナス(恒久.魔法倍率＋１)		80
達成　実績１００個　　　　　　　　　★物理倍率＋１	20	物理倍率＋１		合計１００個以上の実績取得　ボーナス(恒久.物理倍率＋１)		100
達成(クリア時)　タイニリーチＥ　　　★レア確率ＵＰ	10	"\"""	達成／タイニリーチＥ	秘宝タイニリーチＥ取得　ボーナス(恒久.レア確率ＵＰ)		
達成(クリア時)　マリアの可能性　　　●分岐発生	10	"\"""	達成／マリアと王子	ダークランスとマリアが恋人になる可能性		
達成(クリア時)　奈落の王　　　　　　●分岐発生	10	"\"""	達成／奈落の王	天空の王が現れる可能性		
達成(クリア時)　海獣　　　　　　　　★物理倍率＋１	10	物理倍率＋１	達成／海獣	海獣レイドボスを撃破　ボーナス(恒久.物理倍率＋１)		
達成(クリア時)　怪獣　　　　　　　　★物理倍率＋１	10	物理倍率＋１	達成／怪獣	怪獣ＵＲを撃破　ボーナス(恒久.物理倍率＋１)		
達成(クリア時)　リーザス魔人２撃破　★異常レジスト＋１	10	異常レジスト＋１	達成／リーザス魔人２	リーザスで同ターンに魔人２を倒した　ボーナス(恒久.異常レジスト＋１)		
達成(クリア時)　ヘルマン魔人２撃破　★異常レジスト＋１	10	異常レジスト＋１	達成／ヘルマン魔人２	ヘルマンで同ターンに魔人２を倒した　ボーナス(恒久.異常レジスト＋１)		
達成(クリア時)　ゼス魔人２撃破　　　★異常レジスト＋１	10	異常レジスト＋１	達成／ゼス魔人２	ゼスで同ターンに魔人２を倒した　ボーナス(恒久.異常レジスト＋１)		
達成(クリア時)　自由都市魔人２撃破　★異常レジスト＋１	10	異常レジスト＋１	達成／自由都市魔人２	自由都市で同ターンに魔人２を倒した　ボーナス(恒久.異常レジスト＋１)		
達成(クリア時)　レイタイマン撃破　　★割り込み発生率＋１	10	割り込み発動＋１	達成／レイタイマン撃破	魔人レイをランスがタイマンで倒した　ボーナス(恒久.割り込み発生率＋１)		
達成(クリア時)　姉妹撃破　　　　　　★割り込み発生率＋１	10	割り込み発動＋１	達成／姉妹撃破	サイゼルハウゼルの姉妹を倒した　ボーナス(恒久.割り込み発生率＋１)		
達成(クリアＡ時)　ワンニャン　　　　★割り込み発生率＋１	10	割り込み発動＋１	達成／ケイブニャン	ケイブニャンを選択して最期までクリア　ボーナス(恒久.割り込み発生率＋１)		
達成(クリアＡ時)　恋人美樹　　　　　★割り込み発生率＋１	10	割り込み発動＋１	達成／恋人美樹	美樹を恋人にした状態で最期までクリア　ボーナス(恒久.割り込み発生率＋１)		
達成(クリア時)　リーザス解放　　　　●有利クエスト発生	10	"\"""	達成／リーザス解放	拠点イベ(ＣＰ実績効果発動)が発生　リーザス軍被害１０％減		
達成(クリア時)　リーザス４０枚　　　●有利クエスト発生	10	"\"""	達成／リーザス３３	拠点イベ(ＣＰ実績効果発動)が発生　リーザス軍被害１０％減		
達成(クリア時)　ヘルマン解放　　　　●有利クエスト発生	10	"\"""	達成／ヘルマン解放	拠点イベ(ＣＰ実績効果発動)が発生　ヘルマン軍被害１０％減		
達成(クリア時)　ヘルマン４０枚　　　●有利クエスト発生	10	"\"""	達成／ヘルマン３３	拠点イベ(ＣＰ実績効果発動)が発生　ヘルマン軍被害１０％減		
達成(クリア時)　ゼス解放　　　　　　●有利クエスト発生	10	"\"""	達成／ゼス解放	拠点イベ(ＣＰ実績効果発動)が発生　ゼス軍被害１０％減		
達成(クリア時)　ゼス４０枚　　　　　●有利クエスト発生	10	"\"""	達成／ゼス３３	拠点イベ(ＣＰ実績効果発動)が発生　ゼス軍被害１０％減		
達成(クリア時)　自由都市解放　　　　●有利クエスト発生	10	"\"""	達成／自由都市解放	拠点イベ(ＣＰ実績効果発動)が発生　自由都市軍被害１０％減		
達成(クリア時)　自由都市４０枚　　　●有利クエスト発生	10	"\"""	達成／自由都市３３	拠点イベ(ＣＰ実績効果発動)が発生　自由都市軍被害１０％減		
達成(クリア時)　ＪＡＰＡＮ４０枚　　●有利クエスト発生	10	"\"""	達成／ＪＡＰＡＮ３３	拠点イベ(ＣＰ実績効果発動)が発生　人類死者率軽減		
達成(クリア時)　その他４０枚　　　　●有利クエスト発生	10	"\"""	達成／その他３３	拠点イベ(ＣＰ実績効果発動)が発生　人類死者率軽減		
達成(クリア時)　亜人４０枚　　　　　●有利クエスト発生	10	"\"""	達成／亜人３３	拠点イベ(ＣＰ実績効果発動)が発生　人類死者率軽減		
達成(クリアＡ時)　４地域無事　　　　●？？解放条件	10	"\"""	条件Ｘ／４地域無事	全ての？？解放条件が揃うと第２部解放		
達成(クリアＡ時)　ケイブリス撃破　　●？？解放条件	10	"\"""	条件Ｘ／ケイブリス撃破	全ての？？解放条件が揃うと第２部解放		
達成(クリアＡ時)　ホーネット無事　　●？？解放条件	10	"\"""	条件Ｘ／ホーネット無事	全ての？？解放条件が揃うと第２部解放		
達成(クリアＡ時)　魂管理局との邂逅　●？？解放条件	10	"\"""	条件Ｘ／魂管理局との邂逅	全ての？？解放条件が揃うと第２部解放		
達成(クリアＡ時)　法王特典未使用　　●？？解放条件	10	"\"""	条件Ｘ／法王特典未使用	全ての？？解放条件が揃うと第２部解放		
達成(２部クリア時)　親友は長田君	10		ルート／長田君	大親友と共にあなたは冒険を達成した	1	
達成(２部クリア時)　親友は志津香＆ナギ	10		ルート／志津香＆ナギ	大親友と共にあなたは冒険を達成した	1	
達成(２部クリア時)　親友はリセット	10		ルート／リセット	大親友と共にあなたは冒険を達成した	1	
達成(２部クリア時)　親友はザンス	10		ルート／ザンス	大親友と共にあなたは冒険を達成した	1	
達成(２部クリア時)　親友はウズメ	10		ルート／ウズメ	大親友と共にあなたは冒険を達成した	1	
達成(２部クリア時)　親友は乱義	10		ルート／乱義	大親友と共にあなたは冒険を達成した	1	
達成(２部クリア時)　親友は深根	10		ルート／深根	大親友と共にあなたは冒険を達成した	1	
達成(２部クリア時)　親友はミックス	10		ルート／ミックス	大親友と共にあなたは冒険を達成した	1	
達成(２部クリア時)　親友はスシヌ	10		ルート／スシヌ	大親友と共にあなたは冒険を達成した	1	
達成(２部クリア時)　親友は元就	10		ルート／元就	大親友と共にあなたは冒険を達成した	1	
達成(２部クリア時)　親友はレリコフ	10		ルート／レリコフ	大親友と共にあなたは冒険を達成した	1	
達成(２部クリア時)　親友はダークランス	10		ルート／ダークランス	大親友と共にあなたは冒険を達成した	1	
達成(２部クリア時)　親友はドッス＆ワッス	10		ルート／ドッス＆ワッス	大親友と共にあなたは冒険を達成した	1	
達成(２部クリア時)　親友は松下姫	10		ルート／松下姫	大親友と共にあなたは冒険を達成した	1	
集結　ランスバリエーション	1	"\"""	Lv42 ランス			
			Lv45 ランス			
			Lv65 ランス			
			Lv55 ランス			
			全裸 ランス			
			タイニー ランス			
集結　ランス城のメイドと騎士	0	"\"""	ビスケッタ			
			クリン			
			ハイジ			
			ロナ			
			サーナキア			
			クルーチェ			
集結　運命の女１	1	"\"""	運命の女 フェリス			
			運命の女 山本五十六			
			運命の女 パステル			
			運命の女 リア			
			運命の女 マジック			
			運命の女 志津香			
			運命の女 戦姫			
集結　運命の女２	1	"\"""	運命の女 毛利てる			
			運命の女 ミラクル			
			運命の女 シーラ			
			運命の女 かなみ			
			運命の女 チルディ			
			運命の女 シィル			
集結　フロストバイン一派	0	"\"""	フロストバイン			
			タマ			
			あてな２号			
			量産型あてな２号			
集結　エターナルヒーロー	0	"\"""	ブリティシュ			
			カフェ			
			日光			
			魔剣 カオス			
			ホ・ラガ			
集結　ＡＬ教	0	"\"""	クルックー			
			ロードリング			
			ＢＳ			
			セル			
集結　リーザス王家	0	"\"""	リア			
			マリス			
			かなみ			
集結　リーザス軍	0	"\"""	バレス			
			コルドバ			
			エクス			
			リック			
			メナド			
			キンケード			
			チャカ			
			アールコート			
集結　リーザス親衛隊	0	"\"""	レイラ			
			チルディ			
			ジュリア			
			イベット			
集結　ヘルマン共和国	0	"\"""	シーラ			
			ペルエレ			
			フレイア			
集結　ヘルマン軍	0	"\"""	ヒューバート			
			ロレックス			
			アミトス			
			クリーム			
			トルストイ			
			オルオレ			
集結　パットン一派	0	"\"""	パットン			
			ハンティ			
			キャンテル			
集結　ゼス王国	0	"\"""	マジック			
			ガンジー			
			カオル			
			ウィチタ			
			チョチョマン			
			ウルザ			
集結　ゼス軍	0	"\"""	千鶴子			
			アニス			
			アレックス			
			サイアス			
			ウスピラ			
			カバッハーン			
集結　カスタムの４魔女(R2)	0	"\"""	子供志津香			
			マリア			
			ミル			
			エレノア			
集結　７人の都市長	0	"\"""	パパデマス			
			パトリシア			
			ビヨンホウ			
			ペスポ			
			エレノア			
			コパンドン			
			カチューシャ			
集結　パランチョ王国	0	"\"""	ポロン			
			ピッテン			
集結　ＪＰ毛利家	0	"\"""	てる			
			きく			
			ちぬ			
集結　ＪＰ上杉家	0	"\"""	謙信			
			愛			
			勝子			
			虎子			
集結　妖怪軍団	0	"\"""	政宗			
			お町			
			ノワール			
			野菊			
			折女			
			黒部			
集結　カラー一族	0	"\"""	パステル			
			サクラ			
			イージス			
			リセット			
			フル			
			ビビッド			
			モダン			
集結　ポピンズ一族	0	"\"""	三菱王			
			満鉄王			
			日立姫			
			東芝王子			
集結　ホルス一族	0	"\"""	テラ			
			メガッス			
			メガワス			
			メガフォース			
集結　聖魔教団	0	"\"""	シーラ			
			闘将Ａ			
			闘将Ｂ			
			闘将Ｃ			
			ゼータ			
			シグマ			
			キャンテル			
集結　マエリータ隊	0	"\"""	王様			
			剣豪			
			アパッチ			
			学者			
			マッスル			
			ニードル			
集結　ハニー一族	0	"\"""	ハニーキング			
			ハニ子			
			グリーンハニー			
			ブルーハニー			
			レッドハニー			
集結　日本の人達	0	"\"""	美樹			
			健太郎			
			大野喜郎さん			
			長堀橋貞夫君			
			東大寺久美			
集結　ホーネット派	0	"\"""	ホーネット			
			サテラ			
			ハウゼル			
			シルキィ			
集結　ケッセルのメイド達	0	"\"""	アルカリア			
			リリム			
			加奈代			
			エルシール			
			シャロン			
			ファーレン			
			バーバラ			
			パレロア			
集結　聖女モンスター	0	"\"""	ベゼルアイ大			
			ウェンリーナー大			
			セラクロラス大			
			ハウセスナース大			
			ベゼルアイ小			
			ウェンリーナー小			
			セラクロラス小			
			ハウセスナース小			
集結　ドット	1	"\"""	タイニー ランス			
			タイニー シィル			
			タイニー ミラクル			
			タイニー かなみ			
			タイニー ピグ			
			タイニー 志津香			
			タイニー クルックー			
			タイニー パステル			
集結　ロードリングの成長	1	"\"""	Lv18 ロードリング			
			Lv26 ロードリング			
			Lv31 ロードリング			
			Lv37 ロードリング			
集結　女の子モンスター１	0	"\"""	きゃんきゃん			
			フローズン			
			メイドさん			
			ラルカット			
			９７チハ			
			幸福きゃんきゃん			
			体育スター			
集結　女の子モンスター２	0	"\"""	シャチ子			
			はいからちゃん			
			ハチ女			
			神風			
			バルキリー			
			マジスコ			
			手裏剣使い			
集結　女の子モンスター３	0	"\"""	男装女			
			鉄腕ラブル			
			ミイラン			
			上野花子			
			めぽら			
			ガルバン			
集結　次世代モンスター	0	"\"""	命の次世代魔物			
			大地の次世代魔物			
			時の次世代魔物			
			力の次世代魔物			
			イカマン			
達成(アフター)　１クエスト達成　　　★自動戦闘倍率＋１	10	自動戦闘倍率＋１	達成／アフター１	チャレンジクエストを１以上クリア　ボーナス(恒久.自動戦闘倍率＋１)		
達成(アフター)　２クエスト達成　　　★自動戦闘倍率＋１	10	自動戦闘倍率＋１	達成／アフター２	チャレンジクエストを２以上クリア　ボーナス(恒久.自動戦闘倍率＋１)		
達成(アフター)　３クエスト達成　　　★自動戦闘倍率＋１	10	自動戦闘倍率＋１	達成／アフター３	チャレンジクエストを３以上クリア　ボーナス(恒久.自動戦闘倍率＋１)		
達成(アフター)　４クエスト達成　　　★自動戦闘倍率＋１	10	自動戦闘倍率＋１	達成／アフター４	チャレンジクエストを４以上クリア　ボーナス(恒久.自動戦闘倍率＋１)		
達成(アフター)　５クエスト達成　　　★自動戦闘倍率＋１	10	自動戦闘倍率＋１	達成／アフター５	チャレンジクエストを５以上クリア　ボーナス(恒久.自動戦闘倍率＋１)		
達成(アフター)　６クエスト達成　　　★自動戦闘倍率＋１	10	自動戦闘倍率＋１	達成／アフター６	チャレンジクエストを６以上クリア　ボーナス(恒久.自動戦闘倍率＋１)		
