マップデータ				
string Node Prefix	int サイズ.values	int マップ位置.values	string 種別	int 番号
２０海里作戦.データ.０１２２		66	道（┘）	
		11		
２０海里作戦.データ.０１２３		67	道（─）	
		10		
２０海里作戦.データ.０１２４		68	道（─）	255
		10		
２０海里作戦.データ.０１２５		69	道（┐）	
		10		
２０海里作戦.データ.０１２６		69	道（└）	
		11		
２０海里作戦.データ.０１２７		70	道（─）	256
		11		
２０海里作戦.データ.０１２８		71	道（─）	
		11		
２０海里作戦.データ.０１２９		72	箱	300
		11		
２０海里作戦.データ.０１３０		73	道（─）	
		11		
２０海里作戦.データ.０１３１		74	道（─）	
		11		
２０海里作戦.データ.０１３２		75	箱	301
		11		
２０海里作戦.データ.０１３３		76	道（─）	
		11		
２０海里作戦.データ.０１３４		77	道（┌）	
		10		
２０海里作戦.データ.０１３５		77	道（┘）	
		11		
２０海里作戦.データ.０１３６		78	箱	310
		10		
２０海里作戦.データ.０１３７		79	道（─）	
		10		
２０海里作戦.データ.０１３８		79	箱	311
		11		
２０海里作戦.データ.０１３９		80	道（─）	
		10		
２０海里作戦.データ.０１４０		81	箱	315
		10		
２０海里作戦.データ.０１４１		82	道（┐）	
		10		
２０海里作戦.データ.０１４２		82	道（│）	
		11		
２０海里作戦.データ.０１４３		82	道（└）	
		12		
２０海里作戦.データ.０１４４		83	道（─）	
		12		
２０海里作戦.データ.０１４５		84	箱	320
		12		
２０海里作戦.データ.０１４６		85	道（─）	
		12		
２０海里作戦.データ.０１４７		86	道（─）	
		12		
２０海里作戦.データ.０１４８		87	箱	330
		11		
２０海里作戦.データ.０１４９		87	道（┘）	
		12		
２０海里作戦.データ.０１５０		88	道（─）	
		11		
２０海里作戦.データ.０１５１		89	道（┌）	
		10		
２０海里作戦.データ.０１５２		89	箱	340
		11		
２０海里作戦.データ.０１５３		89	道（└）	
		12		
２０海里作戦.データ.０１５４		90	道（─）	
		10		
２０海里作戦.データ.０１５５		90	道（─）	
		12		
２０海里作戦.データ.０１５６		91	箱	341
		10		
２０海里作戦.データ.０１５７		91	道（─）	
		12		
２０海里作戦.データ.０１５８		92	道（┐）	
		10		
２０海里作戦.データ.０１５９		92	道（└）	
		11		
２０海里作戦.データ.０１６０		92	道（┐）	
		12		
２０海里作戦.データ.０１６１		92	道（└）	343
		13		
２０海里作戦.データ.０１６２		93	箱	342
		11		
２０海里作戦.データ.０１６３		93	道（─）	
		13		
２０海里作戦.データ.０１６４		94	道（┬）	
		11		
２０海里作戦.データ.０１６５		94	道（│）	
		12		
２０海里作戦.データ.０１６６		94	道（┘）	
		13		
２０海里作戦.データ.０１６７		95	道（─）	
		11		
２０海里作戦.データ.０１６８		96	箱	400
		11		
２０海里作戦.データ.０１６９		97	道（─）	
		11		
２０海里作戦.データ.０１７０		98	道（┌）	
		10		
２０海里作戦.データ.０１７１		98	箱	401
		11		
２０海里作戦.データ.０１７２		99	道（┌）	
		9		
２０海里作戦.データ.０１７３		99	道（┘）	
		10		
２０海里作戦.データ.０１７４		99	道（─）	
		11		
２０海里作戦.データ.０１７５		100	箱	405
		9		
２０海里作戦.データ.０１７６		100	箱	410
		11		
２０海里作戦.データ.０１７７		100	道（└）	
		12		
２０海里作戦.データ.０１７８		101	道（─）	
		9		
２０海里作戦.データ.０１７９		101	道（─）	
		11		
２０海里作戦.データ.０１８０		101	道（─）	
		12		
２０海里作戦.データ.０１８１		102	道（─）	
		9		
２０海里作戦.データ.０１８２		102	箱	411
		11		
２０海里作戦.データ.０１８３		102	箱	415
		12		
２０海里作戦.データ.０１８４		103	道（─）	
		9		
２０海里作戦.データ.０１８５		103	道（┬）	
		11		
２０海里作戦.データ.０１８６		103	道（┘）	
		12		
２０海里作戦.データ.０１８７		104	道（─）	
		9		
２０海里作戦.データ.０１８８		104	道（┌）	
		10		
２０海里作戦.データ.０１８９		104	箱	420
		11		
２０海里作戦.データ.０１９０		105	箱	406
		9		
２０海里作戦.データ.０１９１		105	道（┘）	
		10		
２０海里作戦.データ.０１９２		105	道（─）	
		11		
２０海里作戦.データ.０１９３		106	道（─）	
		9		
２０海里作戦.データ.０１９４		106	箱	430
		11		
２０海里作戦.データ.０１９５		107	道（─）	
		9		
２０海里作戦.データ.０１９６		107	道（─）	
		11		
２０海里作戦.データ.０１９７		108	道（─）	
		9		
２０海里作戦.データ.０１９８		108	箱	440
		11		
２０海里作戦.データ.０１９９		109	箱	407
		9		
２０海里作戦.データ.０２００		109	道（─）	
		11		
２０海里作戦.データ.０２０１		110	道（─）	
		9		
２０海里作戦.データ.０２０２		110	箱	450
		11		
２０海里作戦.データ.０２０３		111	道（┐）	
		9		
２０海里作戦.データ.０２０４		111	道（├）	
		10		
２０海里作戦.データ.０２０５		111	道（┘）	
		11		
２０海里作戦.データ.０２０６		112	道（─）	
		10		
２０海里作戦.データ.０２０７		113	箱	500
		10		
２０海里作戦.データ.０２０８		114	道（─）	
		10		
２０海里作戦.データ.０２０９		115	箱	505
		10		
２０海里作戦.データ.０２１０		116	道（─）	
		10		
２０海里作戦.データ.０２１１		117	道（─）	
		10		
２０海里作戦.データ.０２１２		118	道（─）	506
		10		
２０海里作戦.データ.０２１３		119	道（─）	
		10		
２０海里作戦.データ.０２１４		120	道（┌）	
		9		
２０海里作戦.データ.０２１５		120	箱	510
		10		
２０海里作戦.データ.０２１６		120	道（└）	
		11		
２０海里作戦.データ.０２１７		121	道（─）	
		9		
２０海里作戦.データ.０２１８		121	道（─）	
		11		
２０海里作戦.データ.０２１９		122	箱	511
		8		
２０海里作戦.データ.０２２０		122	道（┘）	
		9		
２０海里作戦.データ.０２２１		122	道（┐）	
		11		
２０海里作戦.データ.０２２２		122	箱	540
		12		
２０海里作戦.データ.０２２３		123	箱	512
		6		
２０海里作戦.データ.０２２４		123	道（┌）	
		7		
２０海里作戦.データ.０２２５		123	道（┘）	
		8		
２０海里作戦.データ.０２２６		123	道（─）	
		12		
２０海里作戦.データ.０２２７		124	道（┌）	
		6		
２０海里作戦.データ.０２２８		124	箱	519
		7		
２０海里作戦.データ.０２２９		124	道（─）	
		12		
２０海里作戦.データ.０２３０		125	道（─）	
		6		
２０海里作戦.データ.０２３１		125	道（┐）	
		12		
２０海里作戦.データ.０２３２		125	道（└）	
		13		
２０海里作戦.データ.０２３３		126	箱	520
		6		
２０海里作戦.データ.０２３４		126	道（└）	
		7		
２０海里作戦.データ.０２３５		126	箱	541
		13		
２０海里作戦.データ.０２３６		127	道（─）	
		6		
２０海里作戦.データ.０２３７		127	道（┐）	
		7		
２０海里作戦.データ.０２３８		127	道（└）	
		8		
２０海里作戦.データ.０２３９		127	道（─）	
		13		
２０海里作戦.データ.０２４０		128	箱	522
		6		
２０海里作戦.データ.０２４１		128	箱	521
		8		
２０海里作戦.データ.０２４２		128	道（┐）	
		13		
２０海里作戦.データ.０２４３		128	道（└）	
		14		
２０海里作戦.データ.０２４４		129	道（┐）	
		8		
２０海里作戦.データ.０２４５		129	道（│）	
		9		
２０海里作戦.データ.０２４６		129	道（└）	
		10		
２０海里作戦.データ.０２４７		129	道（─）	
		14		
２０海里作戦.データ.０２４８		130	箱	543
		10		
２０海里作戦.データ.０２４９		130	箱	542
		14		
２０海里作戦.データ.０２５０		131	箱	513
		6		
２０海里作戦.データ.０２５１		131	道（┐）	
		10		
２０海里作戦.データ.０２５２		131	道（│）	
		11		
２０海里作戦.データ.０２５３		131	道（└）	
		12		
２０海里作戦.データ.０２５４		131	道（─）	
		14		
２０海里作戦.データ.０２５５		132	箱	544
		12		
２０海里作戦.データ.０２５６		132	道（─）	
		14		
２０海里作戦.データ.０２５７		133	道（┐）	
		12		
２０海里作戦.データ.０２５８		133	道（│）	
		13		
２０海里作戦.データ.０２５９		133	道（┴）	
		14		
２０海里作戦.データ.０２６０		134	箱	530
		14		
２０海里作戦.データ.０２６１		135	道（─）	
		14		
２０海里作戦.データ.０２６２		136	道（─）	
		14		
２０海里作戦.データ.０２６３		137	道（─）	
		14		
２０海里作戦.データ.０２６４		138	箱	600
		14		
２０海里作戦.データ.０２６５		139	道（─）	
		14		
２０海里作戦.データ.０２６６		140	道（┌）	
		13		
２０海里作戦.データ.０２６７		140	箱	601
		14		
２０海里作戦.データ.０２６８		141	道（─）	
		13		
２０海里作戦.データ.０２６９		141	道（─）	
		14		
２０海里作戦.データ.０２７０		142	道（┌）	
		12		
２０海里作戦.データ.０２７１		142	道（┘）	
		13		
２０海里作戦.データ.０２７２		142	道（─）	
		14		
２０海里作戦.データ.０２７３		143	箱	605
		12		
２０海里作戦.データ.０２７４		143	道（─）	
		14		
２０海里作戦.データ.０２７５		144	道（─）	
		12		
２０海里作戦.データ.０２７６		144	道（─）	
		14		
２０海里作戦.データ.０２７７		145	道（─）	
		12		
２０海里作戦.データ.０２７８		145	道（─）	
		14		
２０海里作戦.データ.０２７９		146	道（┐）	
		12		
２０海里作戦.データ.０２８０		146	道（│）	
		13		
２０海里作戦.データ.０２８１		146	箱	610
		14		
２０海里作戦.データ.０２８２		147	道（─）	
		14		
２０海里作戦.データ.０２８３		148	道（┌）	
		13		
２０海里作戦.データ.０２８４		148	道（┘）	
		14		
２０海里作戦.データ.０２８５		149	道（─）	
		13		
２０海里作戦.データ.０２８６		150	道（┐）	
		13		
２０海里作戦.データ.０２８７		150	道（│）	
		14		
２０海里作戦.データ.０２８８		150	道（└）	
		15		
２０海里作戦.データ.０２８９		151	道（┌）	
		14		
２０海里作戦.データ.０２９０		151	道（┘）	
		15		
２０海里作戦.データ.０２９１		152	箱	620
		14		
２０海里作戦.データ.０２９２		153	道（─）	
		14		
２０海里作戦.データ.０２９３		154	道（┐）	
		14		
２０海里作戦.データ.０２９４		154	道（│）	
		15		
２０海里作戦.データ.０２９５		154	道（└）	
		16		
２０海里作戦.データ.０２９６		155	道（┌）	
		13		
２０海里作戦.データ.０２９７		155	道（│）	
		14		
２０海里作戦.データ.０２９８		155	箱	621
		15		
２０海里作戦.データ.０２９９		155	道（┘）	
		16		
２０海里作戦.データ.０３００		156	道（┌）	
		12		
２０海里作戦.データ.０３０１		156	箱	622
		13		
２０海里作戦.データ.０３０２		156	道（└）	
		14		
２０海里作戦.データ.０３０３		156	道（┐）	
		15		
２０海里作戦.データ.０３０４		156	道（└）	
		16		
２０海里作戦.データ.０３０５		157	道（┌）	
		11		
２０海里作戦.データ.０３０６		157	道（┘）	
		12		
２０海里作戦.データ.０３０７		157	道（─）	
		14		
２０海里作戦.データ.０３０８		157	道（┌）	
		15		
２０海里作戦.データ.０３０９		157	箱	626
		16		
２０海里作戦.データ.０３１０		158	道（─）	
		11		
２０海里作戦.データ.０３１１		158	道（┌）	
		12		
２０海里作戦.データ.０３１２		158	箱	625
		13		
２０海里作戦.データ.０３１３		158	道（┘）	
		14		
２０海里作戦.データ.０３１４		158	道（─）	
		15		
２０海里作戦.データ.０３１５		158	道（┐）	
		16		
２０海里作戦.データ.０３１６		158	道（└）	
		17		
２０海里作戦.データ.０３１７		159	箱	623
		11		
２０海里作戦.データ.０３１８		159	道（─）	
		12		
２０海里作戦.データ.０３１９		159	道（─）	
		13		
２０海里作戦.データ.０３２０		159	道（┌）	
		14		
２０海里作戦.データ.０３２１		159	箱	627
		15		
２０海里作戦.データ.０３２２		159	道（└）	
		16		
２０海里作戦.データ.０３２３		159	道（─）	
		17		
２０海里作戦.データ.０３２４		160	道（─）	
		11		
２０海里作戦.データ.０３２５		160	道（─）	
		12		
２０海里作戦.データ.０３２６		160	道（┐）	
		13		
２０海里作戦.データ.０３２７		160	道（┴）	
		14		
２０海里作戦.データ.０３２８		160	道（─）	
		16		
２０海里作戦.データ.０３２９		160	箱	629
		17		
２０海里作戦.データ.０３３０		161	道（┐）	
		11		
２０海里作戦.データ.０３３１		161	箱	624
		12		
２０海里作戦.データ.０３３２		161	道（┐）	
		14		
２０海里作戦.データ.０３３３		161	箱	628
		15		
２０海里作戦.データ.０３３４		161	道（┐）	
		16		
２０海里作戦.データ.０３３５		161	道（┴）	
		17		
２０海里作戦.データ.０３３６		162	道（┐）	
		12		
２０海里作戦.データ.０３３７		162	道（└）	
		13		
２０海里作戦.データ.０３３８		162	道（┌）	
		14		
２０海里作戦.データ.０３３９		162	道（┘）	
		15		
２０海里作戦.データ.０３４０		162	道（┌）	
		16		
２０海里作戦.データ.０３４１		162	道（┘）	
		17		
２０海里作戦.データ.０３４２		163	道（┬）	
		13		
２０海里作戦.データ.０３４３		163	道（┤）	
		14		
２０海里作戦.データ.０３４４		163	道（│）	
		15		
２０海里作戦.データ.０３４５		163	箱	630
		16		
２０海里作戦.データ.０３４６		164	道（─）	
		13		
２０海里作戦.データ.０３４７		165	道（─）	
		13		
２０海里作戦.データ.０３４８		166	道（┌）	
		12		
２０海里作戦.データ.０３４９		166	箱	650
		13		
２０海里作戦.データ.０３５０		166	道（└）	
		14		
２０海里作戦.データ.０３５１		167	道（┌）	
		11		
２０海里作戦.データ.０３５２		167	道（┘）	655
		12		
２０海里作戦.データ.０３５３		167	道（─）	
		14		
２０海里作戦.データ.０３５４		168	箱	660
		11		
２０海里作戦.データ.０３５５		168	道（┌）	
		13		
２０海里作戦.データ.０３５６		168	道（┘）	
		14		
２０海里作戦.データ.０３５７		169	道（─）	
		11		
２０海里作戦.データ.０３５８		169	箱	671
		13		
２０海里作戦.データ.０３５９		170	箱	670
		11		
２０海里作戦.データ.０３６０		170	道（─）	
		13		
２０海里作戦.データ.０３６１		171	道（─）	
		11		
２０海里作戦.データ.０３６２		171	道（─）	
		13		
２０海里作戦.データ.０３６３		171	箱	672
		14		
２０海里作戦.データ.０３６４		172	道（┐）	
		11		
２０海里作戦.データ.０３６５		172	箱	680
		12		
２０海里作戦.データ.０３６６		172	道（┘）	
		13		
２０海里作戦.データ.０３６７		173	道（─）	
		12		
２０海里作戦.データ.０３６８		174	道（─）	685
		12		
２０海里作戦.データ.０３６９		175	道（─）	
		12		
２０海里作戦.データ.０３７０		176	箱	690
		12		
２０海里作戦.データ.０３７１		177	道（─）	
		12		
２０海里作戦.データ.０３７２		178	道（┌）	
		10		
２０海里作戦.データ.０３７３		178	道（│）	695
		11		
２０海里作戦.データ.０３７４		178	道（┘）	
		12		
２０海里作戦.データ.０３７５		179	箱	696
		10		
２０海里作戦.データ.０３７６		180	道（─）	
		10		
２０海里作戦.データ.０３７７		181	道（┌）	
		8		
２０海里作戦.データ.０３７８		181	道（│）	
		9		
２０海里作戦.データ.０３７９		181	道（┘）	
		10		
２０海里作戦.データ.０３８０		182	箱	700
		8		
２０海里作戦.データ.０３８１		183	道（┌）	
		7		
２０海里作戦.データ.０３８２		183	道（┘）	
		8		
２０海里作戦.データ.０３８３		184	道（┌）	
		6		
２０海里作戦.データ.０３８４		184	道（┘）	
		7		
２０海里作戦.データ.０３８５		185	箱	710
		6		
２０海里作戦.データ.０３８６		186	道（─）	715
		6		
２０海里作戦.データ.０３８７		187	道（─）	
		6		
２０海里作戦.データ.０３８８		188	箱	720
		6		
２部ＪＡＰＡＮ	145			
	30			
２部ＪＡＰＡＮ.データ.０００１		3	箱	10
		10		
２部ＪＡＰＡＮ.データ.０００２		4	道（─）	
		10		
２部ＪＡＰＡＮ.データ.０００３		5	道（─）	
		10		
２部ＪＡＰＡＮ.データ.０００４		6	箱	15
		10		
２部ＪＡＰＡＮ.データ.０００５		7	道（─）	
		10		
２部ＪＡＰＡＮ.データ.０００６		8	道（─）	
		10		
２部ＪＡＰＡＮ.データ.０００７		9	道（─）	
		10		
２部ＪＡＰＡＮ.データ.０００８		10	道（─）	
		10		
２部ＪＡＰＡＮ.データ.０００９		11	道（─）	
		10		
２部ＪＡＰＡＮ.データ.００１０		12	箱	20
		10		
２部ＪＡＰＡＮ.データ.００１１		13	道（─）	
		10		
２部ＪＡＰＡＮ.データ.００１２		14	道（┐）	
		10		
２部ＪＡＰＡＮ.データ.００１３		14	道（│）	
		11		
２部ＪＡＰＡＮ.データ.００１４		14	道（└）	
		12		
２部ＪＡＰＡＮ.データ.００１５		15	箱	30
		12		
２部ＪＡＰＡＮ.データ.００１６		16	道（─）	
		12		
２部ＪＡＰＡＮ.データ.００１７		17	道（─）	
		12		
２部ＪＡＰＡＮ.データ.００１８		18	道（─）	
		12		
２部ＪＡＰＡＮ.データ.００１９		19	箱	40
		12		
２部ＪＡＰＡＮ.データ.００２０		20	道（─）	
		12		
２部ＪＡＰＡＮ.データ.００２１		21	道（─）	
		12		
２部ＪＡＰＡＮ.データ.００２２		22	箱	50
		12		
２部ＪＡＰＡＮ.データ.００２３		23	道（─）	
		12		
２部ＪＡＰＡＮ.データ.００２４		24	道（─）	
		12		
２部ＪＡＰＡＮ.データ.００２５		25	道（─）	
		12		
２部ＪＡＰＡＮ.データ.００２６		26	道（┌）	
		11		
２部ＪＡＰＡＮ.データ.００２７		26	箱	60
		12		
２部ＪＡＰＡＮ.データ.００２８		26	道（└）	
		13		
２部ＪＡＰＡＮ.データ.００２９		27	道（─）	
		11		
２部ＪＡＰＡＮ.データ.００３０		27	道（─）	
		13		
２部ＪＡＰＡＮ.データ.００３１		28	箱	61
		10		
２部ＪＡＰＡＮ.データ.００３２		28	道（┘）	
		11		
２部ＪＡＰＡＮ.データ.００３３		28	道（─）	
		13		
２部ＪＡＰＡＮ.データ.００３４		29	道（─）	
		10		
２部ＪＡＰＡＮ.データ.００３５		29	箱	63
		12		
２部ＪＡＰＡＮ.データ.００３６		29	道（┘）	
		13		
２部ＪＡＰＡＮ.データ.００３７		30	道（┌）	
		9		
２部ＪＡＰＡＮ.データ.００３８		30	道（┘）	
		10		
２部ＪＡＰＡＮ.データ.００３９		30	道（─）	
		12		
２部ＪＡＰＡＮ.データ.００４０		31	道（┬）	
		9		
２部ＪＡＰＡＮ.データ.００４１		31	道（│）	
		10		
２部ＪＡＰＡＮ.データ.００４２		31	道（│）	
		11		
２部ＪＡＰＡＮ.データ.００４３		31	道（┘）	
		12		
２部ＪＡＰＡＮ.データ.００４４		32	箱	70
		9		
２部ＪＡＰＡＮ.データ.００４５		33	道（─）	
		9		
２部ＪＡＰＡＮ.データ.００４６		34	道（─）	
		9		
２部ＪＡＰＡＮ.データ.００４７		35	道（─）	
		9		
２部ＪＡＰＡＮ.データ.００４８		36	箱	100
		9		
２部ＪＡＰＡＮ.データ.００４９		37	道（─）	
		9		
２部ＪＡＰＡＮ.データ.００５０		38	箱	110
		9		
２部ＪＡＰＡＮ.データ.００５１		39	道（─）	
		9		
２部ＪＡＰＡＮ.データ.００５２		40	箱	120
		9		
２部ＪＡＰＡＮ.データ.００５３		41	道（─）	
		9		
２部ＪＡＰＡＮ.データ.００５４		42	箱	130
		9		
２部ＪＡＰＡＮ.データ.００５５		43	道（─）	
		9		
２部ＪＡＰＡＮ.データ.００５６		44	箱	140
		9		
２部ＪＡＰＡＮ.データ.００５７		45	道（─）	
		9		
２部ＪＡＰＡＮ.データ.００５８		46	箱	145
		9		
２部ＪＡＰＡＮ.データ.００５９		47	道（─）	
		9		
２部ＪＡＰＡＮ.データ.００６０		48	箱	150
		9		
２部ＪＡＰＡＮ.データ.００６１		49	道（─）	
		9		
２部ＪＡＰＡＮ.データ.００６２		50	道（┌）	
		8		
２部ＪＡＰＡＮ.データ.００６３		50	箱	160
		9		
２部ＪＡＰＡＮ.データ.００６４		51	道（─）	
		8		
２部ＪＡＰＡＮ.データ.００６５		51	道（┐）	
		9		
２部ＪＡＰＡＮ.データ.００６６		51	道（└）	
		10		
２部ＪＡＰＡＮ.データ.００６７		52	箱	170
		8		
２部ＪＡＰＡＮ.データ.００６８		52	道（─）	
		10		
２部ＪＡＰＡＮ.データ.００６９		53	道（─）	
		8		
２部ＪＡＰＡＮ.データ.００７０		53	箱	180
		10		
２部ＪＡＰＡＮ.データ.００７１		54	道（─）	
		8		
２部ＪＡＰＡＮ.データ.００７２		54	道（─）	
		10		
２部ＪＡＰＡＮ.データ.００７３		55	道（┐）	
		8		
２部ＪＡＰＡＮ.データ.００７４		55	道（└）	
		9		
２部ＪＡＰＡＮ.データ.００７５		55	道（─）	
		10		
２部ＪＡＰＡＮ.データ.００７６		56	道（┐）	
		9		
２部ＪＡＰＡＮ.データ.００７７		56	道（┴）	
		10		
２部ＪＡＰＡＮ.データ.００７８		57	箱	190
		10		
２部ＪＡＰＡＮ.データ.００７９		58	道（─）	
		10		
２部ＪＡＰＡＮ.データ.００８０		59	道（─）	
