クエスト画面																			
string Node Prefix	int 表示位置.values	int Ｚ順序	string ＣＧ	int 原点座標	int 桁数	int 字間	int サイズ	int 種別	float 太さ	int 色.values	float 幅	int 行間	int バー種別	int サイズ_2.values	string ＣＧ一覧.values	int 位置増分.values	string 定義名	string 文字	string フラット
選択肢.ボタン.共通.分岐右.補助.テキスト.テキスト.選択										255									
										255									
										255									
選択肢.ボタン.三択.分岐１	1438	1															分岐左		
	152																		
選択肢.ボタン.三択.分岐２	1438	1															分岐前		
	362																		
選択肢.ボタン.三択.分岐３	1438	1															分岐右		
	572																		
選択肢.ボタン.二択.分岐１	1438	1															分岐左		
	257																		
選択肢.ボタン.二択.分岐２	1438	1															分岐右		
	467																		
選択肢.ボタン.一択.分岐１	1438	1															分岐前		
	362																		
ミニマップ		9900																	
ミニマップ.土台	0	0	シス／クエスト／マップ／土台																
	0																		
ミニマップ.パーツ		1																	
ミニマップ.マーク		8	シス／クエスト／マップ／現在位置丸	5															
ミニマップ.枠	0	9	シス／クエスト／マップ／範囲																
	0																		
ミニマップ.ボタン.上矢印	1140	10																	クエスト画面/シス／クエスト／マップ／上矢印
	30																		
ミニマップ.ボタン.下矢印	1140	10																	クエスト画面/シス／クエスト／マップ／下矢印
	956																		
ミニマップ.ボタン.左矢印	570	10																	クエスト画面/シス／クエスト／マップ／左矢印
	481																		
ミニマップ.ボタン.右矢印	1737	10																	クエスト画面/シス／クエスト／マップ／右矢印
	481																		
ミニマップ.ボタン.閉じる	1823	10															Ｆ０９２		
	5																		
ミニマップ.ボタン.閉じる.補助.アイコン			シス／ボタン／閉じる																
