クエストデータ																																											
string Node Prefix	string 物語	int 終了	string 背景	string 地名	string 音楽	string フラグ	string 画像Ａ	string 画像Ｂ	string 戦闘	string 処理	string 顔画像	string 説明	string 物語２	string 物語３	string コルルンサ	string 秘書任命	string 戦闘２	string 分岐	string 条件書換前	string ！条件書換前	string 割り込み	string 割り込み背景	string 秘書登録	string 物語４	string 物語５	string 物語６	string 物語７	string 物語８	string ムービー９	string 物語１０	string カード.values	string ムービー	string 戦闘４	string 条件書換後	string 条件	string ！条件	string ムービー８	string ワープ	string フラグ２	string フラグ３	string ！条件書換後	int デッキ編集	string 目的
ｖｓストーンＧＥＸ２.００３	９００／アフター／クエストクリア	1					人工迷宮	その後の戦局																																			
ｖｓストーンＧＥＸ３			人工迷宮	台湾の秘密基地	フィールド／僻地夜	難易度２０																																					
ｖｓストーンＧＥＸ３.００１							人工迷宮	"\"""																																			
ｖｓストーンＧＥＸ３.００２							人工迷宮	中ボス印	m55ストーンＧＥＸ３																																		
ｖｓストーンＧＥＸ３.００３	９００／アフター／クエストクリア	1					人工迷宮	その後の戦局																																			
ｖｓ地域１			戦場	トレードセンター前	フィールド／僻地夜	難易度１５																																					
ｖｓ地域１.００１							戦場	"\"""																																			
ｖｓ地域１.２０							戦場	モンスター印	m33迷宮																																		
ｖｓ地域１.３０							戦場	魔軍印	m33魔軍																																		
ｖｓ地域１.４０							戦場	モンスター印	m33平原　自動																																		
ｖｓ地域１.５０	９００／アフター／クエストクリア	1					戦場	その後の戦局																																			
ｖｓ地域２			ワシントン花畑	中之島公園	フィールド／僻地夜	難易度２０																																					
ｖｓ地域２.００１							ワシントン花畑	"\"""																																			
ｖｓ地域２.０１０							ワシントン花畑	大ボス印	m55グリーンドラゴン																																		
ｖｓ地域２.０２０							ワシントン花畑	大ボス印	m55レッドドラゴン																																		
ｖｓ地域２.０３０							ワシントン花畑	中ボス印	m55霊体／ボス																																		
ｖｓ地域２.０２１								トラップ		ダメージ　２０																																	
ｖｓ地域２.０２２								トラップ		ダメージ　２０																																	
ｖｓ地域２.０２３								トラップ		ダメージ　２０																																	
ｖｓ地域２.０４０							ワシントン花畑	魔軍印	m00魔軍																																		
ｖｓ地域２.０２５								トラップ		ダメージ　９０																																	
ｖｓ地域２.０５０							ワシントン花畑	魔軍印	m00魔軍																																		
ｖｓ地域２.０２７								トラップ		ダメージ　１０																																	
ｖｓ地域２.０２８								トラップ		ダメージ　１０																																	
ｖｓ地域２.０２９								トラップ		ダメージ　１０																																	
ｖｓ地域２.０６０							ワシントン花畑	中ボス印	m55キラトーキ																																		
ｖｓ地域２.０７０	９００／アフター／クエストクリア	1					ワシントン花畑	その後の戦局																																			
ｖｓ地域３			山道	山上遊園地	フィールド／僻地夜	難易度２２																																					
ｖｓ地域３.００１							山道	"\"""																																			
ｖｓ地域３.０１０							山道	モンスター印	m22迷宮																																		
ｖｓ地域３.０２０							山道	モンスター印	m22平原																																		
ｖｓ地域３.０３０							山道	ハニー印	m22ハニー																																		
ｖｓ地域３.０４０							山道	中ボス印	m55古代種／ボス																																		
ｖｓ地域３.０５０							山道	中ボス印	m55鬼／毒																																		
ｖｓ地域３.０６０							山道	悪魔印	m11悪魔																																		
ｖｓ地域３.０７０							山道	中ボス印	m55装甲／ボス																																		
ｖｓ地域３.０１００							Ｍランド	中ボス印	m55アントーン／ボス																																		
ｖｓ地域３.０１１０	９００／アフター／クエストクリア	1					Ｍランド	その後の戦局																																			
クルックー裁判.００１	９４１／クルックー裁判	1																																									
解説ルーム.００１	９４２／解説ルーム	1																																									
アリス／挨拶.００１	８５０／アリス／挨拶	1				初期化／アリスの館																																					
アリス／お知らせ.００１	８５１／アリス／お知らせ	1																																									
アリス／開始前に.００１	８５２／アリス／開始前に	1																																									
アリス／コツ.００１	８５３／アリス／コツ	1																																									
アリス／Ｒ１.００１	８６１／アリス／Ｒ１	1																																									
アリス／Ｒ２.００１	８６２／アリス／Ｒ２	1																																									
アリス／Ｒ３.００１	８６３／アリス／Ｒ３	1																																									
アリス／Ｒ４.００１	８６４／アリス／Ｒ４	1																																									
アリス／Ｒ５.００１	８６５／アリス／Ｒ５	1																																									
アリス／Ｒ６.００１	８６６／アリス／Ｒ６	1																																									
アリス／Ｒ７.００１	８６７／アリス／Ｒ７	1																																									
アリス／Ｒ８.００１	８６８／アリス／Ｒ８	1																																									
アリス／Ｒ９.００１	８６９／アリス／Ｒ９	1																																									
アリス／スタッフ.００１	８７０／アリス／スタッフ	1																																									
アリス／ＴＡＤＡ.００１	８７１／アリス／ＴＡＤＡ	1																																									
アリス／織音.００１	８７２／アリス／織音	1																																									
アリス／ぷりん.００１	８７３／アリス／ぷりん	1																																									
アリス／ヨイドレ.００１	８７４／アリス／ヨイドレ	1																																									
アリス／抜ける.００１		1				初期化／アリスの館																																					
その頃ダークランス.００１	３８２／その頃ダークランス	1																																									
アリス／ＤＢ１.００１	８９０／アリスＤＢ	1																																									
アリス／ＤＢ２.００１	８９０／アリスＤＢ	1																																									
アリス／ＤＢ３.００１	８９０／アリスＤＢ	1																																									
アリス／冒険イメージ.００１	８５５／アリス／冒険イメージ	1																																									
アリス／成長イメージ.００１	８５６／アリス／成長イメージ	1																																									
アリス／その他イメージ.００１	８５７／アリス／その他イメージ	1																																									
アリス／戦闘イメージ.００１	８５４／アリス／戦闘イメージ	1																																									
アリスの館.００１	４９／アリスの館	1																																									
★ハニーテスト			リーザス平原	リーザス	フィールド／リーザス																																						
★ハニーテスト.００１	０００／テストさん						街道１	イベント印																																			
★ハニーテスト.００１.選択分岐.分岐前											立て看板	出発します																															
★ハニーテスト.０２０						ウルトラレアＯＮ	街道１	中ボス魔軍印	m22ハニー																																		
★ハニーテスト.０３０							街道１	レア宝箱印		宝箱／レア																																	
★ハニーテスト.０４０	５０／その頃						街道１	その頃印																																			
★ハニーテスト.０５０	５０／エンド	1					街道１	イベント印																																			
ランス砦の日々／砦.００１	１６７／ランス砦の日々	1																																									
ランスがリーダー.００１	０３／ランスへの状況説明	1											０３／香姫のエロ	０３／ランスがリーダー	世界																												
反撃作戦開始.００１	０６／反撃作戦開始	1													第二次魔人戦争																												
魔王の噂.００１	０８／魔王の噂	1																																									
中間会議.００１	１７／中間会議	1																																									
２０海里出現.００１	１２／２０海里出現	1													満ち潮																												
２０海里消失.００１	１３／２０海里消失	1																																									
２０海里上陸後の朝.００１	１５／夜が明けた	1																																									
ランス城飛ばない.００１	３０／パットンの失敗																																										
ランス城飛ばない.００２	３０／魔軍進撃																																										
ランス城飛ばない.００３	３０／魔軍に敗北																																										
ランス城飛ばない.００４	３０／逃げた先	1														アリス																											
飛ばなかった後.００１	３４／今後の方針	1																																									
天満橋の大軍／ＪＰ.００１	３２／天満橋の大軍	1																																									
天満橋の大軍／通常.００１	３５／天満橋の大軍／通常	1																																									
魔王の覚醒間近／ＪＰ.００１	３３／魔王の覚醒間近	1																																									
ワーグ活躍.００１	３１／ワーグ活躍	1													魔人ワーグ																												
警告シャングリラ強襲.００１	５１／警告シャングリラ強襲	1																																									
警告魔王を捜す.００１	５２／警告魔王を捜す	1																																									
魔王ケイブリス告知.００１	５５２／魔王ケイブリス／告知	1																																									
シィル幽体離脱.００１	５３／シィル幽体離脱	1																																									
全地域奪還.００１	５５／全地域奪還	1																																									
カミーラ自動取得.００１	５６／カミーラ自動取得	1																																									
魔軍の増援.００１	５７／魔軍の増援	1																																									
動かす手段／飛行.００１	１７０／動かす手段／飛行	1																																									
ランス城移動１／飛行.００１	１７１／ランス城移動１	1																																									
ランス城移動２／飛行			ランス城																																								
ランス城移動２／飛行.００１	１７２／ランス城移動２／戦闘前	1												１７２／ランス城移動２／戦闘後			m11魔軍／飛行																										
ランス城移動３／飛行			ランス城																																								
ランス城移動３／飛行.００１	１７３／ランス城移動３／戦闘前	1												１７３／ランス城移動３／戦闘後			m11魔軍／飛行																										
ランス城移動４／飛行.００１	１７４／ランス城移動４	2																																									
軍移動.００１	１６９／軍移動	1																																									
天満橋は渡れない／ＪＰ.００１	１６６／天満橋は渡れない／ＪＰ	1																																									
空飛ぶランス城散策.００１	１０９／空飛ぶランス城散策	1													闘神都市																												
必殺技を得る.００１	１４２／必殺技を得る	1																																									
魔王の記憶改竄.００１	１１６／魔王の記憶改変																																										
魔王の記憶改竄.００１.選択分岐.分岐前											ランス	手段は選ばない						００２																									
魔王の記憶改竄.００２	１１６／記憶の中																																										
魔王の記憶改竄.００３	１１６／美樹とエッチ	1																																									
海を調べる.００１	１４３／海を調べる	1																																									
俺は自由になる.００１	１０６／俺は自由になる	2																																									
本番に向けて休息.００１	１５１／本番に向けて休息	1																																									
本番に向けて休息／ＪＰ.００１	１５１／本番に向けて休息	1																																									
再出発／ＪＰ.００１	１４４／ＪＡＰＡＮで再出発	1																																									
再出発／砦.００１	１４５／ランス砦での再出発	1																																									
魔物界進軍計画.００１	１６８／魔物界進軍計画	1																																									
美樹を何とかする／ＪＰ.００１	１４６／美樹を何とかする	1																																									
ＤＸの会の妨害.００１		1																	カチューシャ展開５　物語=１５５／ＤＸの会の妨害Ａ	カチューシャ展開５　物語=１５５／ＤＸの会の妨害Ｂ																							
美樹を取り返す.００１	１５４／美樹を取り返す	1																																									
上陸地点で準備.００１	１４８／上陸地点で準備	1																																									
女の子モンスター迷宮			秘密の谷	フチュウ盆地	フィールド／僻地夜	リーザス地域																																					
女の子モンスター迷宮.００１	１５６／スタート						秘密の谷	"\"""																																			
女の子モンスター迷宮.００１.選択分岐.分岐前											ランス	女の子モンスターは$いねがぁ～																															
女の子モンスター迷宮.０１５								自動モンスター印	m00女Ｍ　自動																																		
女の子モンスター迷宮.０１６								自動モンスター印	m00女Ｍ　自動																																		
女の子モンスター迷宮.０２０							秘密の谷	女の子モンスター印	m00女Ｍ																																		
女の子モンスター迷宮.０３０							秘密の谷	女の子モンスター印	m00女Ｍ																																		
女の子モンスター迷宮.０４０							秘密の谷	女の子モンスター印	m00女Ｍ																																		
女の子モンスター迷宮.０５０							秘密の谷	食券ＵＰ印		食券																																	
女の子モンスター迷宮.０６０							秘密の谷	レア宝箱印		宝箱／レア																																	
女の子モンスター迷宮.０７０							秘密の谷	？？？印													道中サブ	秘密の谷																					
女の子モンスター迷宮.０７０.選択分岐.分岐前											ウェンリーナー	えへへ、よろしくね																															
女の子モンスター迷宮.０８０	１５６／エンド	1					秘密の谷	イベント印																																			
残党狩り／リーザス			リーザス城	リーザス城	フィールド／首都																																						
残党狩り／リーザス.００１	１５８／スタート						000リーザス城	"\"""																																			
残党狩り／リーザス.００１.選択分岐.分岐前			リーザス平原	リーザス	フィールド／優勢						ランス	いくぞ$掃討じゃー！																															
残党狩り／リーザス.００２								自動モンスター印	m11平原　自動																																		
残党狩り／リーザス.００３								自動魔軍印	m11魔軍　自動																																		
残党狩り／リーザス.０１０							街道１	魔軍印	m22魔軍																																		
残党狩り／リーザス.０２０							街道１	食券ＵＰ印		食券																																	
残党狩り／リーザス.０３０							リーザス平原	レア宝箱印		宝箱／レア																																	
残党狩り／リーザス.０４０		1					リーザス平原	魔軍印	m22魔軍																																		
残党狩り／ヘルマン			ラングバウ	首都　ラングバウ	フィールド／首都																																						
残党狩り／ヘルマン.００１	１５９／スタート						000ラングバウ	"\"""																																			
残党狩り／ヘルマン.００１.選択分岐.分岐前			ヘルマン平原	ヘルマン	フィールド／優勢						ランス	かるーくやってやる																															
残党狩り／ヘルマン.００２								自動モンスター印	m11平原　自動																																		
残党狩り／ヘルマン.００３								自動魔軍印	m11魔軍　自動																																		
残党狩り／ヘルマン.０１０							街道１	魔軍印	m22魔軍																																		
残党狩り／ヘルマン.０２０							街道１	食券ＵＰ印		食券																																	
残党狩り／ヘルマン.０３０							ヘルマン平原	レア宝箱印		宝箱／レア																																	
残党狩り／ヘルマン.０４０		1					ヘルマン平原	魔軍印	m22魔軍																																		
残党狩り／ゼス			ゼス城	首都　ラグナロックアーク	フィールド／首都																																						
残党狩り／ゼス.００１	１６０／スタート						000ゼス城	"\"""																																			
残党狩り／ゼス.００１.選択分岐.分岐前			ゼス平原	ゼス	フィールド／優勢						マジック	行くわよ																															
残党狩り／ゼス.００２								自動モンスター印	m11平原　自動																																		
残党狩り／ゼス.００３								自動魔軍印	m11魔軍　自動																																		
残党狩り／ゼス.０１０							街道１	魔軍印	m22魔軍																																		
残党狩り／ゼス.０２０							街道１	食券ＵＰ印		食券																																	
残党狩り／ゼス.０３０							ゼス平原	レア宝箱印		宝箱／レア																																	
残党狩り／ゼス.０４０		1					ゼス平原	魔軍印	m22魔軍																																		
残党狩り／自由都市			Ｍランド	臨時首都　Ｍランド	フィールド／首都																																						
残党狩り／自由都市.００１	１６１／スタート						Ｍランド	"\"""																																			
残党狩り／自由都市.００１.選択分岐.分岐前			自由都市平原	自由都市	フィールド／優勢						ランス	さーて、雑魚掃除だ																															
残党狩り／自由都市.００２								自動モンスター印	m11平原　自動																																		
残党狩り／自由都市.００３								自動魔軍印	m11魔軍　自動																																		
残党狩り／自由都市.０１０							街道１	魔軍印	m22魔軍																																		
残党狩り／自由都市.０２０							街道１	食券ＵＰ印		食券																																	
残党狩り／自由都市.０３０							自由都市平原	レア宝箱印		宝箱／レア																																	
残党狩り／自由都市.０４０		1					自由都市平原	魔軍印	m22魔軍																																		
奪還／リーザス			リーザス平原	リーザス	フィールド／魔物界																																						
奪還／リーザス.００１	１６２／スタート						リーザス平原	"\"""																																			
奪還／リーザス.００１.選択分岐.分岐前											ランス	リアを救い出す																															
奪還／リーザス.００２								自動モンスター印	m00迷宮　自動																																		
奪還／リーザス.００３								自動モンスター印	m00迷宮　自動																																		
奪還／リーザス.０１０							農地	モンスター印	m00魔軍																																		
奪還／リーザス.０１２								自動モンスター印	m00平原　自動																																		
奪還／リーザス.０１３								自動モンスター印	m00平原　自動																																		
奪還／リーザス.０２０	１６２／悲惨な人々						都市	モンスター印									m00魔軍																										
奪還／リーザス.０３０							街道１	レア宝箱印		宝箱／レア																																	
奪還／リーザス.０４０							魔軍野営地	モンスター印	m00魔軍																																		
奪還／リーザス.０５０	１６２／エンド	1					ヘルマン都市廃墟	モンスター印																																			
奪還／ヘルマン			ヘルマン平原	ヘルマン	フィールド／魔物界																																						
奪還／ヘルマン.００１	１６３／スタート						ヘルマン平原	"\"""																																			
奪還／ヘルマン.００１.選択分岐.分岐前											ランス	シーラを奪い返す																															
奪還／ヘルマン.００２								自動モンスター印	m00迷宮　自動																																		
奪還／ヘルマン.００３								自動モンスター印	m00迷宮　自動																																		
奪還／ヘルマン.０１０							農地	モンスター印	m00魔軍																																		
奪還／ヘルマン.０１２								自動モンスター印	m00平原　自動																																		
奪還／ヘルマン.０１３								自動モンスター印	m00平原　自動																																		
奪還／ヘルマン.０２０	１６２／悲惨な人々						都市	モンスター印									m00魔軍																										
奪還／ヘルマン.０３０							街道１	レア宝箱印		宝箱／レア																																	
奪還／ヘルマン.０４０							魔軍野営地	モンスター印	m00魔軍																																		
奪還／ヘルマン.０５０	１６３／エンド	1					ヘルマン都市廃墟	モンスター印																																			
奪還／ゼス			ゼス平原	ゼス	フィールド／魔物界																																						
奪還／ゼス.００１	１６４／スタート						ゼス平原	"\"""																																			
奪還／ゼス.００１.選択分岐.分岐前											ランス	マジックを助ける																															
奪還／ゼス.００２								自動モンスター印	m00迷宮　自動																																		
奪還／ゼス.００３								自動モンスター印	m00迷宮　自動																																		
奪還／ゼス.０１０							農地	モンスター印	m00魔軍																																		
奪還／ゼス.０１２								自動モンスター印	m00平原　自動																																		
奪還／ゼス.０１３								自動モンスター印	m00平原　自動																																		
奪還／ゼス.０２０	１６２／悲惨な人々						都市	モンスター印									m00魔軍																										
奪還／ゼス.０３０							街道１	レア宝箱印		宝箱／レア																																	
奪還／ゼス.０４０							魔軍野営地	モンスター印	m00魔軍																																		
奪還／ゼス.０５０	１６４／エンド	1					ヘルマン都市廃墟	モンスター印																																			
奪還／自由都市			自由都市平原	自由都市	フィールド／魔物界																																						
奪還／自由都市.００１	１６５／スタート						自由都市平原	"\"""																																			
奪還／自由都市.００１.選択分岐.分岐前											ランス	俺の女たちを取り戻す																															
奪還／自由都市.００２								自動モンスター印	m00迷宮　自動																																		
奪還／自由都市.００３								自動モンスター印	m00迷宮　自動																																		
奪還／自由都市.０１０							農地	モンスター印	m00魔軍																																		
奪還／自由都市.０１２								自動モンスター印	m00平原　自動																																		
奪還／自由都市.０１３								自動モンスター印	m00平原　自動																																		
奪還／自由都市.０２０	１６２／悲惨な人々						都市	モンスター印									m00魔軍																										
奪還／自由都市.０３０							街道１	レア宝箱印		宝箱／レア																																	
奪還／自由都市.０４０							魔軍野営地	モンスター印	m00魔軍																																		
奪還／自由都市.０５０	１６５／エンド	1					ヘルマン都市廃墟	モンスター印																																			
男の子モンスター迷宮			農地	カコガワ農園	フィールド／村																																						
男の子モンスター迷宮.００１	１５７／スタート					ヘルマン地域	農地	"\"""																																			
男の子モンスター迷宮.００１.選択分岐.分岐前											ランス	ハック＆スラッーシュ！																															
男の子モンスター迷宮.０１５								自動モンスター印	m11迷宮　自動																																		
男の子モンスター迷宮.０１６								自動モンスター印	m11平原　自動																																		
男の子モンスター迷宮.０２０							農地	モンスター印	m11平原																																		
男の子モンスター迷宮.０３０							農地	モンスター印	m11平原																																		
男の子モンスター迷宮.０４０							農地	モンスター印	m11平原																																		
男の子モンスター迷宮.０５０							農地	食券ＵＰ印		食券																																	
男の子モンスター迷宮.０６０							農地	レア宝箱印		宝箱／レア																																	
男の子モンスター迷宮.０６５								自動モンスター印	m11迷宮　自動																																		
男の子モンスター迷宮.０６６								自動モンスター印	m11迷宮　自動																																		
男の子モンスター迷宮.０７０							農地	モンスター印	m11平原																																		
男の子モンスター迷宮.０８０							農地	？？？印													道中サブ	農地																					
男の子モンスター迷宮.０８０.選択分岐.分岐前											セラクロラス	…………ぐぅ																															
男の子モンスター迷宮.０９０	１５７／エンド	1					農地	イベント印																																			
チャンスを待つ.００１	２００／チャンスを待つ		ランス城	ランス城	フィールド／ランス城		000ランス城																																				
チャンスを待つ.００１.選択分岐.分岐左											ビスケッタ	かしこまりました																															
チャンスを待つ.００１.選択分岐.分岐右											コパンドン	しゃあないな$今回だけやで																															
チャンスを待つ.０１０							ランス城廊下	勲章ＵＰ印		勲章																																	
チャンスを待つ.０１１							ランス城廊下	勲章ＵＰ印		勲章																																	
チャンスを待つ.０１２		1					ランス城廊下	勲章ＵＰ印		勲章																																	
チャンスを待つ.０２０							屋敷内	宝箱印		宝箱／ノーマル																																	
チャンスを待つ.０２１							屋敷内	宝箱印		宝箱／ノーマル																																	
チャンスを待つ.０２２							屋敷内	宝箱印		宝箱／ノーマル																																	
チャンスを待つ.０２３							屋敷内	宝箱印		宝箱／ノーマル																																	
チャンスを待つ.０２４							屋敷内	宝箱印		宝箱／ノーマル																																	
チャンスを待つ.０２５		1					屋敷内	レア宝箱印		宝箱／レア																																	
ケイブリスに勝負を挑む.００１	２７５／ケイブリスに勝負を挑む	1																																									
戦力補強.００１	２８２／戦力補強	1																																									
暇／ＪＰ.００１	２８９／暇／ＪＰ	1																																									
どこに行くべきか／飛行.００１	２９０／どこに行くべきか／飛行	1																																									
法王特典.００１	４２８／法王特典	1																																									
勇者の活躍１.００１	４２６／勇者の活躍１	1																																									
勇者の活躍２.００１	４２６／勇者の活躍２	1																																									
食券行列に並ぶ.００１	４００／食券行列に並ぶ	1																																									
三姉妹占い.００１	４１６／三姉妹占い／スタート	1											４１６／三姉妹占い／すっぽぬけ																														
ランス城散策.００１	１０８／ランス城散策	1																					ビスケッタ																				
ランス城の補給.００１	０７／ランス城の補給	1																																									
クルックーと女神アリス.００１	０９／クルックーと女神アリス	1																																									
サテラの魔人話.００１	１０７／サテラの魔人話	1													魔人サテラ								サテラ																				
ホーネットの魔王話.００１	１１７／ホーネットの魔王話	1																																									
魔王とミラクル.００１	１１５／魔王とミラクル	1																																									
聖女の役目.００１	１２４／聖女の役目	1																																									
お正月.００１	３５８／お正月	1																																									
英雄ブリティシュ.００１	４０６／英雄ブリティシュ	1													エターナルヒーロー																												
アニス抱く.００１	４０１／アニス拷問	1																																									
ハウゼル抱く.００１	１１８／ハウゼル１	1											１１８／ハウゼル２	１１８／ハウゼル３																													
サイゼル抱く.００１	１１９／サイゼル１	1											１１９／サイゼル２	１１９／サイゼル３																													
シルキィ抱く.００１	１２０／シルキィ抱く	1																																									
クリーム抱く.００１	４０３／クリームとエッチ	1																																									
ウルザ抱く.００１	４０４／ウルザ１	1											４０４／ウルザ２																														
日光抱く.００１	１２１／日光を抱く	1																																									
ウィリス抱く.００１	４１４／ウィリス抱く	1																																									
アギレダ抱く.００１	１２３／アギレダを抱く	1																																									
ビスケッタ抱く.００１	４０５／ビスケッタさんのエロ	1																																									
ワーグ仲間.００１	４０２／ワーグ仲間	1																																									
シィルを脱がす.００１	３５５／シィルを脱がす	1																																									
総統ハーレム１.００１	４１１／総統ハーレム１	1																																									
総統ハーレム２.００１	４１２／総統ハーレム２	1																																									
橋頭堡の夜／シィル.００１	１９０／魔物界の橋頭堡	1											１９０／橋頭堡でシィル																														
橋頭堡の夜／一人.００１	１９０／魔物界の橋頭堡	1											１９２／橋頭堡で一人																														
橋頭堡の夜／サテラ.００１	１９０／魔物界の橋頭堡	1											１９３／橋頭堡でサテラ																														
橋頭堡の夜／アギレダ.００１	１９０／魔物界の橋頭堡	1											１９４／橋頭堡でアギレダ																														
エピローグＡ.００１	５９０／戦争報告	4				クリア／エピローグ							５９０／女神の部屋	５９０／お祝い										５９０／バード	５９０／美樹発作	５９０／ホーネットの選択	５９０／ランスの選択	５９０／誕生	１部エンドロール	５９０／魔王ランス													
エピローグＢ.００１	５９０／戦争報告	4				クリア／エピローグ							５９０／女神の部屋	５９０／お祝い										５９０／バード	５９０／美樹発作	５９０／ミラクルの選択	５９０／ランスの選択	５９０／誕生	１部エンドロール	５９０／魔王ランス													
ジュリア改造.００１	４１７／ジュリア改造	1																																									
ケッセルリンク復活.００１	４１８／ケッセルリンク復活	1																																									
ハニー軍団参戦.００１	４１９／ハニー軍団参戦	1																																									
マエリータ再集結.００１	４２０／マエリータ再集結	1																																									
テオマンの女１.００１	４２１／テオマンの女１	1																																									
テオマンの女２.００１	４２２／テオマンの女２	1																																									
政宗と嫁.００１	４２３／政宗と嫁	1																																									
ランス船団の事.００１	１１２／ランス船団の事		ランス城	ランス城	フィールド／ランス城		000ランス城																																				
ランス船団の事.００１.選択分岐.分岐左											コパンドン	ほな戦争用に改造で																															
ランス船団の事.００１.選択分岐.分岐右											ランス	まてまて$それは俺様の冒険用だ																															
ランス船団の事.０１０	１１２／許可する	1				ランス船団＝０	ランス城廊下	兵数ＵＰ印																																			
ランス船団の事.０２０	１１２／許可しない	1				ランス船団＝１	ランス城廊下	イベント印																																			
レンジャー作戦.００１	４５０／レンジャー作戦	1																																									
ガード作戦.００１	４５１／ガード作戦	1																																									
ヒーラー作戦.００１	４５２／ヒーラー作戦	1																																									
勲章行列に並ぶ.００１	４５４／勲章行列に並ぶ	1																																									
砦防衛			山道																																								
砦防衛.００１	４５５／砦防衛	1							m11迷宮								m11迷宮																										
治水.００１	４５６／治水	1																																									
地表偵察			魔物の森																																								
地表偵察.００１	４５７／地表偵察	1							m00レア女Ｍ																																		
裸集め.００１			ランス城	ランス城	フィールド／ランス城		000ランス城												裸集めカウント　物語=シィル／裸	裸集めカウント　物語=ランス／裸																							
裸集め.００２							ランス城廊下	レア宝箱印		宝箱／レア																					全裸００												
																															全裸００												
																															全裸００												
裸集め.００３		1					000ランス城																																				
卵の孵化.００１	４５３／卵の孵化		ランス城	ランス城	フィールド／ランス城	次世代魔物の追加	000ランス城																																				
卵の孵化.００２		1					000ランス城																																				
各国軍の底力.００１	４５９／各国軍の底力	1																																									
女の子モンスター脱がす.００１	４２５／女の子モンスター脱がす	1																																									
ベゼルアイの繁殖期.００１	００／ベゼルアイ／繁殖	1																																									
ハウセスナースの繁殖期.００１	００／ハウセスナース／繁殖	1																																									
セラクロラスの繁殖期.００１	００／セラクロラス／繁殖	1																																									
ウェンリーナーの繁殖期.００１	００／ウェンリーナー／繁殖	1																																									
エピローグ滅亡.００１	５５５／人類滅亡	4				クリア／敗北																										１部バッドエンドロール											
割り込み抜け.００１	３００／割り込み抜け	1																																									
カチューシャ脱走.００１	３６３／カチューシャ脱走	1																																									
ウィリス仲間入り.００１	３５８／ウィリス仲間入り	1				ウィリスの追加									神々																												
クエルプラン遭遇.００１	３６０／クエルプラン遭遇	1																																									
クエルプランとアリス１.００１	３６８／クエルプランとアリス１	1																																									
クエルプランとアリス２.００１	３６９／クエルプランとアリス２	1																																									
ルドラサウムの声.００１	３７０／ルドラサウムの声	1																																									
ミカン物語.００１	３５９／ミカン物語	1								宝箱／ノーマル																					Lv70 普通の父												
																															Lv70 普通の母												
																															Lv70 普通の少女												
美樹の留守番.００１	３５６／美樹の留守番	1																																									
